symbol,datetime,open,high,low,close,rope_dir,dist_to_rope_atr,rope_slope_atr_5,range_break_up,range_break_up_strength,is_consolidating,bb_width_percentile,bb_contracting,bb_contract_streak,bb_pos_01,dsa_pivot_pos_01,near_rope_loose,near_rope_strict,near_rope_streak_loose,near_rope_streak_strict,near_rope_ratio_5_loose,near_rope_ratio_5_strict,coil_loose,coil_strict,trigger_rope_slope_up,trigger_rope_slope_cross_up,trigger_break_up,not_too_high,ret_5,ret_10,ret_20,ret_40,max_dd_5,max_dd_10,max_dd_20,max_dd_40,win_5,win_10,win_20,win_40,variant,setup_active,rr_5,rr_10,rr_20,rr_40
600860.SH,2021-08-19 07:00:00,7.41,7.49,7.01,7.17,0.0,-0.3475212370479022,0.2713740144141157,0.0,,1.0,0.9375,0.0,0.0,0.5470686969935667,0.6092233009708738,True,False,3,0,0.8,0.4,True,False,True,False,False,True,0.11157601115760109,0.08926080892608085,-0.025104602510460212,-0.11157601115760109,-0.055788005578800606,-0.055788005578800606,-0.055788005578800606,-0.1645746164574616,1.0,1.0,0.0,0.0,A_loose_background,1,1.9999999999999978,1.5999999999999979,-0.4499999999999989,-0.6779661016949152
603085.SH,2021-08-20 07:00:00,6.55,6.55,6.32,6.36,0.0,-0.47297016088110727,0.14246320701087586,0.0,,1.0,0.375,1.0,12.0,0.2927446702937373,0.16230366492146622,True,False,4,0,0.8,0.4,True,False,True,False,False,True,0.0628930817610062,0.05345911949685532,0.08018867924528299,-0.012578616352201269,0.0,0.0,0.0,-0.02201257861635229,1.0,1.0,1.0,0.0,A_loose_background,1,,,,-0.5714285714285696
300927.SZ,2021-09-08 07:00:00,35.51,36.2,34.99,35.36,0.0,-0.07849158602249724,0.2819276079263097,0.0,,1.0,1.0,0.0,0.0,0.64185421414294,0.5453712190650778,True,True,4,4,0.8,0.8,True,False,True,False,False,True,0.3817873303167421,0.18778280542986428,0.010746606334841702,0.05062217194570134,-0.01838235294117643,-0.01838235294117643,-0.01838235294117643,-0.0540158371040723,1.0,1.0,1.0,1.0,A_loose_background,1,20.769230769230816,10.21538461538464,0.5846153846153899,0.9371727748691112
601228.SH,2021-09-17 07:00:00,3.33,3.36,3.26,3.3,0.0,-0.3149182429167864,0.38044695466654654,0.0,,1.0,0.9523809523809523,0.0,0.0,0.6344823404552198,0.6590909090909086,True,False,4,0,0.8,0.4,True,False,True,False,False,True,0.0363636363636364,0.024242424242424267,-0.03939393939393936,-0.036363636363636265,-0.015151515151515098,-0.015151515151515098,-0.048484848484848395,-0.0666666666666666,1.0,1.0,0.0,0.0,A_loose_background,1,2.4000000000000106,1.6000000000000072,-0.8125000000000009,-0.5454545454545445
300426.SZ,2021-09-22 07:00:00,6.55,6.75,6.52,6.71,0.0,-0.017116665163927798,0.35036048539490044,0.0,,1.0,0.7411764705882353,1.0,4.0,0.49218690388533193,0.6863636363636362,True,True,4,2,0.8,0.4,True,False,True,False,False,True,-0.08643815201192251,-0.0998509687034277,0.043219076005961254,0.03576751117734728,-0.08941877794336806,-0.11326378539493291,-0.11773472429210134,-0.11773472429210134,0.0,0.0,1.0,1.0,A_loose_background,1,-0.9666666666666673,-0.8815789473684211,0.3670886075949367,0.30379746835443067
300915.SZ,2021-12-08 07:00:00,58.8,59.59,57.68,58.69,0.0,-0.48363486359696584,0.32374457710619353,0.0,,1.0,0.3,0.0,0.0,0.07898192972246341,0.6103710751665081,True,False,3,0,0.8,0.2,True,False,True,False,False,True,0.01993525302436534,-0.02027602658033733,0.030669620037485166,-0.16135627875276878,-0.017209064576588825,-0.03407735559720566,-0.05247912761969668,-0.19441131368205822,1.0,0.0,1.0,0.0,A_loose_background,1,1.1584158415841623,-0.594999999999999,0.5844155844155862,-0.829973707274321
003012.SZ,2021-12-20 07:00:00,12.4,12.91,12.28,12.8,0.0,0.4528830921030081,0.38587008584395543,0.0,,1.0,0.7416666666666667,0.0,0.0,0.7908695096561782,0.14734088927637326,True,False,4,0,0.8,0.2,True,False,True,False,False,True,0.04062499999999997,0.08593749999999997,0.10468749999999999,-0.05312500000000012,-0.025781250000000006,-0.025781250000000006,-0.025781250000000006,-0.06406250000000002,1.0,1.0,1.0,0.0,A_loose_background,1,1.5757575757575741,3.3333333333333317,4.06060606060606,-0.8292682926829283
600676.SH,2021-12-27 07:00:00,4.23,4.28,4.2,4.23,0.0,-0.2231961266324586,1.1149151199268001,0.0,,1.0,0.825,0.0,0.0,0.6985011909089778,0.6000000000000006,True,True,4,4,0.8,0.8,True,False,True,False,False,True,0.03546099290780129,0.02364066193853419,-0.040189125295508464,0.03546099290780129,-0.018912529550827437,-0.018912529550827437,-0.04255319148936184,-0.04964539007092218,1.0,1.0,0.0,1.0,A_loose_background,1,1.8749999999999918,1.2499999999999944,-0.9444444444444459,0.7142857142857089
603619.SH,2022-01-13 07:00:00,14.89,15.45,14.66,14.7,0.0,0.29024674661428623,0.0658556868918189,0.0,,1.0,0.55,1.0,1.0,0.6082085373229813,0.6565656565656567,True,True,4,1,0.8,0.4,True,False,True,False,False,True,-0.061224489795918276,-0.10272108843537414,0.06870748299319739,-0.01564625850340127,-0.06802721088435375,-0.10884353741496597,-0.12517006802721087,-0.12517006802721087,0.0,0.0,1.0,0.0,A_loose_background,1,-0.8999999999999986,-0.9437500000000001,0.5489130434782618,-0.12499999999999928
000926.SZ,2022-01-19 07:00:00,4.4,4.47,4.39,4.43,1.0,0.2276617177247038,0.1988794298988788,0.0,,0.0,0.475,1.0,3.0,0.6479607208035717,0.7692307692307685,True,True,4,4,0.8,0.8,True,False,True,False,False,True,-0.04063205417607217,0.0,0.0022573363431152766,0.06320541760722354,-0.06320541760722334,-0.06320541760722334,-0.06320541760722334,-0.13995485327313764,0.0,0.0,1.0,1.0,A_loose_background,1,-0.6428571428571432,0.0,0.0357142857142882,0.45161290322580705
600623.SH,2022-03-01 07:00:00,9.13,9.24,9.1,9.15,1.0,0.3350922562518128,0.20040156821583324,0.0,,0.0,0.38333333333333336,1.0,12.0,0.6049760370501553,0.11727616645649432,True,False,4,0,0.8,0.6,True,False,True,False,False,True,-0.04699453551912565,-0.13114754098360656,-0.08087431693989074,-0.2185792349726776,-0.053551912568306034,-0.1333333333333334,-0.15846994535519127,-0.27322404371584696,0.0,0.0,0.0,0.0,A_loose_background,1,-0.8775510204081622,-0.9836065573770488,-0.510344827586207,-0.8
301206.SZ,2022-03-04 07:00:00,114.9,120.11,113.52,117.02,0.0,-0.11420658014493686,0.4903695119509853,0.0,,1.0,,0.0,0.0,,0.31049250535331896,True,True,4,4,0.8,0.8,True,False,True,False,False,True,-0.07152623483165263,-0.12749957272261153,-0.1551016920184583,-0.45163219962399587,-0.14544522303879676,-0.18817296188685692,-0.18817296188685692,-0.4820543496838147,0.0,0.0,0.0,0.0,A_loose_background,1,-0.49177438307873045,-0.6775658492279747,-0.8242506811989098,-0.936890622230101
601020.SH,2022-03-11 07:00:00,14.52,15.38,14.44,15.38,0.0,0.2422299784219072,0.29319761201932654,0.0,,1.0,0.7583333333333333,1.0,3.0,0.7411770428724938,0.7899461400359067,True,True,4,1,0.8,0.2,True,False,True,False,False,True,-0.007152145643693186,0.028608582574772397,0.16644993498049418,-0.1007802340702211,-0.08777633289987005,-0.08777633289987005,-0.08777633289987005,-0.11833550065019507,0.0,1.0,1.0,0.0,A_loose_background,1,-0.08148148148148228,0.3259259259259252,1.8962962962962946,-0.8516483516483518
002457.SZ,2022-03-16 07:00:00,9.34,9.67,9.09,9.56,0.0,-0.06253206943263281,0.5220542079766389,0.0,,1.0,0.725,0.0,0.0,0.6581433884564633,0.6397694524495678,True,True,4,1,0.8,0.4,True,False,True,False,False,True,0.019874476987447647,0.09832635983263592,0.12447698744769868,-0.06485355648535575,-0.01255230125523023,-0.01255230125523023,-0.01255230125523023,-0.14644351464435149,1.0,1.0,1.0,0.0,A_loose_background,1,1.5833333333333162,7.833333333333264,9.916666666666579,-0.44285714285714345
603158.SH,2022-05-27 07:00:00,9.63,9.84,9.43,9.53,1.0,0.14705861087257857,0.5934033897773342,0.0,,0.0,0.675,1.0,13.0,0.7191363469387566,0.1959999999999999,True,True,4,2,0.8,0.6,True,False,True,False,False,True,0.14060860440713535,0.09968520461699906,-0.04512067156348371,-0.1332633788037775,-0.006295907660020853,-0.006295907660020853,-0.15215110178384045,-0.1878279118572927,1.0,1.0,0.0,0.0,A_loose_background,1,22.333333333333805,15.833333333333687,-0.296551724137931,-0.7094972067039107
603683.SH,2022-06-10 07:00:00,9.08,9.16,8.75,9.08,0.0,-0.19012764340260443,0.902408398733976,0.0,,1.0,1.0,0.0,0.0,0.7864665298637802,0.2205726405090138,True,True,4,2,0.8,0.4,True,False,True,False,False,True,0.017621145374449355,0.009911894273127738,-0.0011013215859030602,-0.013215859030836918,-0.03414096916299565,-0.051762114537445,-0.051762114537445,-0.09691629955947145,1.0,1.0,0.0,0.0,A_loose_background,1,0.5161290322580641,0.1914893617021271,-0.02127659574468037,-0.13636363636363535
002157.SZ,2022-06-24 07:00:00,6.35,6.47,6.24,6.27,0.0,-0.24872343711335337,0.8515306890650924,0.0,,1.0,0.4166666666666667,0.0,0.0,0.5975889928119602,0.17578772802653392,True,True,4,3,0.8,0.6,True,False,True,False,False,True,-0.02392344497607647,0.20733652312599693,0.006379585326953754,-0.0637958532695374,-0.04784688995215308,-0.04784688995215308,-0.04784688995215308,-0.11802232854864424,0.0,1.0,1.0,0.0,A_loose_background,1,-0.49999999999999856,4.333333333333338,0.13333333333333353,-0.5405405405405403
300507.SZ,2022-07-04 07:00:00,7.85,7.86,7.55,7.66,0.0,-0.0027025054116226357,0.4979242922838085,0.0,,1.0,0.65,0.0,0.0,0.7052123385722855,0.2974051896207585,True,True,4,3,0.8,0.6,True,False,True,False,False,True,-0.03263707571801566,-0.013054830287206335,0.056135770234986906,-0.027415143603133154,-0.05744125326370762,-0.097911227154047,-0.097911227154047,-0.097911227154047,0.0,0.0,1.0,0.0,A_loose_background,1,-0.5681818181818176,-0.13333333333333403,0.5733333333333329,-0.2799999999999999
603773.SH,2022-08-24 07:00:00,17.85,17.85,16.88,16.92,0.0,-0.3163313027451926,0.20796390727313036,0.0,,1.0,0.3416666666666667,1.0,2.0,0.3883968030399107,0.6463414634146345,True,False,4,0,0.8,0.0,True,False,True,False,False,True,-0.07269503546099303,-0.02482269503546109,-0.12174940898345166,-0.12588652482269516,-0.07742316784869989,-0.07742316784869989,-0.14834515366430268,-0.23345153664302604,0.0,0.0,0.0,0.0,A_loose_background,1,-0.9389312977099237,-0.3206106870229015,-0.820717131474104,-0.5392405063291144
600971.SH,2022-09-02 07:00:00,7.97,8.22,7.9,7.99,0.0,-0.07675197042921587,0.09301143632235936,0.0,,1.0,0.575,1.0,2.0,0.5896713399604324,0.6953642384105965,True,True,4,2,0.8,0.4,True,False,True,False,False,True,0.022528160200250277,-0.04380475594493123,-0.008760951188986269,0.057571964956195126,-0.0012515644555694352,-0.0625782227784731,-0.07133917396745935,-0.07133917396745935,1.0,0.0,0.0,1.0,A_loose_background,1,18.000000000000355,-0.7000000000000011,-0.1228070175438601,0.8070175438596471
300894.SZ,2022-11-23 07:00:00,24.28,24.37,23.51,23.97,0.0,-0.31724971564048254,0.1551154931501998,0.0,,1.0,0.4166666666666667,1.0,13.0,0.4526784684004735,0.15125570776255698,True,False,4,0,0.8,0.4,True,False,True,False,False,True,0.07008760951188986,0.11764705882352942,0.0888610763454319,0.3679599499374218,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,A_loose_background,1,,,,
603986.SH,2022-11-23 07:00:00,100.15,101.15,97.36,99.6,0.0,-0.09689609109467476,0.5193039383352777,0.0,,1.0,0.9,0.0,0.0,0.7194250962201046,0.20430803365073494,True,True,4,3,0.8,0.6,True,False,True,False,False,True,0.011947791164658755,0.0050200803212851405,0.016265060240963903,0.19307228915662655,-0.022690763052208747,-0.022690763052208747,-0.022690763052208747,-0.06455823293172684,1.0,1.0,1.0,1.0,A_loose_background,1,0.526548672566379,0.22123893805309822,0.7168141592920403,2.9906687402799417
301285.SZ,2022-11-28 07:00:00,14.3,14.59,14.14,14.47,0.0,-0.031375214141332784,0.06303975884682077,0.0,,1.0,,1.0,4.0,0.0961601212132713,0.08353808353808372,True,True,4,3,0.8,0.6,True,False,True,False,False,True,0.02418797512093985,0.042847270214236295,-0.051831375259156875,0.018659295093296446,-0.0027643400138217637,-0.0027643400138217637,-0.08707671043538354,-0.10089841050449211,1.0,1.0,0.0,1.0,A_loose_background,1,8.749999999999789,15.499999999999623,-0.5952380952380953,0.18493150684931467
001299.SZ,2022-12-12 07:00:00,24.85,25.04,24.0,25.03,1.0,0.24973933911598378,0.04275557311527694,1.0,0.03709429681302434,0.0,,1.0,2.0,0.5761437950246092,0.7279236276849643,True,True,4,3,0.8,0.6,True,False,True,False,True,True,-0.1246504194966041,-0.16739912105473437,-0.16140631242509,-0.18497802636835806,-0.12824610467439077,-0.20095884938074315,-0.2165401518178187,-0.2165401518178187,0.0,0.0,0.0,0.0,A_loose_background,1,-0.9719626168224299,-0.8330019880715707,-0.745387453874539,-0.8542435424354244
001267.SZ,2023-01-30 07:00:00,7.5,7.75,7.48,7.66,1.0,0.4348395433539601,0.0,1.0,0.19531939905371637,0.0,0.43333333333333335,1.0,5.0,0.5184614574127153,0.7810026385224275,True,False,4,0,0.8,0.4,True,False,False,False,True,True,-0.031331592689295064,0.005221932114882511,-0.06005221932114882,-0.12663185378590075,-0.037859007832898174,-0.08224543080939946,-0.08616187989556137,-0.13185378590078325,0.0,1.0,0.0,0.0,A_loose_background,1,-0.8275862068965524,0.06349206349206356,-0.6969696969696968,-0.9603960396039604
300830.SZ,2023-02-23 07:00:00,9.8,10.39,9.44,9.61,1.0,0.21878660114957338,0.199654647047063,0.0,,0.0,0.575,1.0,5.0,0.6866039623025411,0.7348837209302325,True,True,1,1,0.8,0.6,True,False,True,False,False,True,-0.004162330905306884,0.024973985431841855,0.07284079084287212,-0.064516129032258,-0.05827263267429748,-0.05827263267429748,-0.07180020811654522,-0.07180020811654522,0.0,1.0,1.0,0.0,A_loose_background,1,-0.07142857142857008,0.42857142857142994,1.0144927536231907,-0.8985507246376807
688072.SH,2023-02-28 07:00:00,260.99,263.49,252.8,256.9,1.0,0.03940916171148455,0.03204233767371442,0.0,,0.0,0.16666666666666666,0.0,0.0,0.5066715014853378,0.65513536742587,True,True,4,4,0.8,0.8,True,False,True,False,False,True,0.07388088750486578,0.23550019462826005,-0.01595951732191501,0.5150642273258079,-0.03464383028415718,-0.03464383028415718,-0.03464383028415718,-0.03464383028415718,1.0,1.0,0.0,1.0,A_loose_background,1,2.1325842696629285,6.797752808988781,-0.46067415730336814,14.86741573033712
603235.SH,2023-04-03 07:00:00,32.83,32.88,31.39,31.63,0.0,-0.09282732813177229,0.39104721616496335,0.0,,1.0,0.09166666666666666,1.0,6.0,0.5546374030278831,0.6009852216748766,True,True,1,1,0.8,0.8,True,True,True,False,False,True,0.02118242175150168,0.012013910844135283,-0.09547897565602276,-0.07872273158393925,-0.01485931078090417,-0.01485931078090417,-0.11729370850458418,-0.11729370850458418,1.0,1.0,0.0,0.0,A_loose_background,1,1.4255319148936165,0.8085106382978722,-0.8140161725067391,-0.6711590296495957
600008.SH,2023-04-13 07:00:00,3.09,3.1,3.02,3.03,0.0,-0.24472475298446394,0.8406869270978459,0.0,,1.0,0.4666666666666667,0.0,0.0,0.6348334099964962,0.7894736842105261,True,True,1,1,0.8,0.6,True,False,True,False,False,True,-0.006600660066006607,-0.019801980198019674,0.04290429042904302,-0.016501650165016445,-0.016501650165016445,-0.036303630363036264,-0.036303630363036264,-0.036303630363036264,0.0,0.0,1.0,0.0,A_loose_background,1,-0.40000000000000174,-0.5454545454545425,1.1818181818181863,-0.4545454545454535
688239.SH,2023-09-14 07:00:00,59.5,61.62,59.5,61.24,1.0,0.19466756152647288,0.040269215097988545,0.0,,0.0,0.25833333333333336,1.0,4.0,0.5097181628265391,0.20408163265306117,True,True,4,2,0.8,0.4,True,False,True,False,False,True,-0.026290006531678633,-0.07511430437622471,-0.21946440235140438,-0.16149575440888309,-0.05274330502939262,-0.09944480731548012,-0.2302416721097322,-0.23905943827563683,0.0,0.0,0.0,0.0,A_loose_background,1,-0.4984520123839002,-0.7553366174055828,-0.9531914893617024,-0.6755464480874317
000895.SZ,2023-09-26 07:00:00,26.6,26.66,26.42,26.49,1.0,0.0436796668824995,0.14344797681076155,0.0,,0.0,0.26666666666666666,1.0,11.0,0.34578820744556354,0.7080924855491326,True,True,4,2,0.8,0.6,True,False,True,False,False,True,-0.0056625141562853375,-0.022272555681389198,-0.005285013212532919,-0.02114005285013208,-0.018497546243865553,-0.024915062287655727,-0.056247640619101494,-0.056247640619101494,0.0,0.0,0.0,0.0,A_loose_background,1,-0.3061224489795899,-0.8939393939393935,-0.09395973154362225,-0.37583892617449616
600561.SH,2023-10-13 07:00:00,6.01,6.08,5.85,6.0,0.0,-0.2890771123088615,1.052531756925464,0.0,,1.0,0.9416666666666667,0.0,0.0,0.7114270141847591,0.5321100917431194,True,True,3,2,0.8,0.4,True,False,True,False,False,True,-0.041666666666666664,0.029999999999999954,0.03833333333333341,0.09666666666666668,-0.10166666666666672,-0.10166666666666672,-0.10166666666666672,-0.10166666666666672,0.0,1.0,1.0,1.0,A_loose_background,1,-0.4098360655737702,0.29508196721311414,0.3770491803278694,0.9508196721311472
603936.SH,2023-11-24 07:00:00,11.16,11.17,10.91,10.97,0.0,-0.04776758214311641,0.37562662273923764,0.0,,1.0,0.65,1.0,4.0,0.5016909270187433,0.7083333333333338,True,True,4,1,0.8,0.4,True,False,True,False,False,True,0.02005469462169543,-0.030082041932543303,-0.08751139471285331,-0.2643573381950775,-0.0018231540565178987,-0.04557885141294439,-0.09389243391066555,-0.27073837739288975,1.0,0.0,0.0,0.0,A_loose_background,1,10.9999999999992,-0.6600000000000001,-0.9320388349514561,-0.9764309764309763
301365.SZ,2024-03-28 07:00:00,11.44,11.93,11.44,11.83,1.0,0.47821589032337203,0.0,1.0,0.06524409062189757,0.0,0.6083333333333333,1.0,25.0,0.6119452211425626,0.14563106796116504,True,False,4,0,0.8,0.4,True,False,False,False,True,True,0.010143702451394693,-0.11242603550295859,-0.025359256128486957,-0.046491969568892705,-0.0008453085376162119,-0.1276415891800507,-0.2180896027049873,-0.2180896027049873,1.0,0.0,0.0,0.0,A_loose_background,1,12.00000000000018,-0.8807947019867551,-0.11627906976744214,-0.21317829457364368
688582.SH,2024-09-24 07:00:00,31.84,32.75,30.82,32.45,0.0,0.13222035585483277,0.031133435963700395,0.0,,1.0,0.125,0.0,0.0,0.3068030243277251,0.7677865612648226,True,True,4,4,0.8,0.8,True,True,True,False,False,True,0.538366718027735,0.2878274268104775,0.4893682588597841,0.40616332819722645,0.004622496147919833,0.004622496147919833,0.004622496147919833,0.004622496147919833,1.0,1.0,1.0,1.0,A_loose_background,1,116.46666666666776,62.26666666666723,105.86666666666763,87.86666666666748
300932.SZ,2024-10-29 07:00:00,14.38,14.48,13.8,13.83,0.0,-0.3713471644936822,0.030786802049754525,0.0,,1.0,0.75,1.0,3.0,0.5564673044000483,0.7466124661246614,True,False,4,0,0.8,0.4,True,False,True,False,False,True,-0.03470715835141001,0.015184381778741799,0.08966015907447579,0.10845986984815618,-0.06073752711496745,-0.06073752711496745,-0.06073752711496745,-0.06073752711496745,0.0,1.0,1.0,1.0,A_loose_background,1,-0.571428571428572,0.24999999999999895,1.4761904761904767,1.785714285714286
001337.SZ,2025-03-25 07:00:00,22.1,22.8,21.98,22.35,0.0,-0.10973508747544658,0.26557521854325006,0.0,,1.0,0.20833333333333334,0.0,0.0,0.616000595184095,0.48493975903614545,True,True,4,1,0.8,0.4,True,False,True,False,False,True,0.06979865771812074,-0.02371364653243853,0.1588366890380312,0.09306487695749432,-0.014317673378076075,-0.11409395973154365,-0.11409395973154365,-0.11409395973154365,1.0,0.0,1.0,1.0,A_loose_background,1,4.874999999999991,-0.20784313725490233,1.3921568627450966,0.815686274509803
301586.SZ,2025-04-29 07:00:00,45.25,46.01,44.91,45.53,0.0,-0.11270827179153058,0.25519620257328113,0.0,,1.0,0.5333333333333333,1.0,11.0,0.31580039145203853,0.11942257217847779,True,True,4,4,0.8,0.8,True,False,True,False,False,True,0.1746101471557214,0.12167801449593672,0.07160114210410713,0.251921809795739,0.0028552602679550944,0.0028552602679550944,0.0028552602679550944,0.0028552602679550944,1.0,1.0,1.0,1.0,A_loose_background,1,61.15384615384826,42.6153846153861,25.076923076923936,88.23076923077231
