dsa_thr,bars_thr,vwap_thr,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,ret_60,mae_60,wr_60,rr_60
0.3,8,-3.0,1241,1241,0.03281,-0.06417,0.6301,0.511,0.06954,-0.08322,0.6865,0.836,0.06795,-0.10237,0.5987,0.664
0.35,5,-2.0,1293,1293,0.03356,-0.06598,0.6187,0.509,0.07128,-0.08312,0.6922,0.858,0.07295,-0.09862,0.6056,0.74
0.35,3,-1.0,1146,1146,0.03332,-0.06563,0.63,0.508,0.07531,-0.07827,0.7138,0.962,0.07406,-0.09211,0.6099,0.804
0.4,3,-1.0,1274,1274,0.03348,-0.0662,0.617,0.506,0.07683,-0.07992,0.7072,0.961,0.07658,-0.09244,0.613,0.828
0.25,8,-1.0,1137,1137,0.03286,-0.06538,0.6209,0.503,0.06793,-0.08415,0.6763,0.807,0.06441,-0.10483,0.5822,0.614
0.25,5,none,1121,1121,0.03244,-0.066,0.6111,0.492,0.07105,-0.08247,0.6922,0.862,0.071,-0.1016,0.595,0.699
0.35,8,-2.0,1504,1504,0.03191,-0.06712,0.5991,0.475,0.07107,-0.08831,0.6789,0.805,0.07956,-0.10283,0.5997,0.774
0.3,8,-2.0,1296,1296,0.03025,-0.06454,0.6173,0.469,0.06503,-0.08452,0.686,0.769,0.06648,-0.10337,0.5941,0.643
0.4,8,-2.0,1718,1718,0.03105,-0.06631,0.6036,0.468,0.06332,-0.0909,0.6572,0.697,0.06942,-0.10556,0.5792,0.658
0.25,8,none,1227,1227,0.03132,-0.06741,0.6023,0.465,0.06273,-0.08733,0.6601,0.718,0.05925,-0.10861,0.5705,0.546
0.4,5,-2.0,1462,1462,0.03036,-0.06785,0.6094,0.448,0.06822,-0.08888,0.671,0.768,0.07503,-0.1039,0.5971,0.722
0.3,3,none,1126,1126,0.02927,-0.06619,0.6057,0.442,0.07167,-0.08111,0.7069,0.884,0.06652,-0.09722,0.5941,0.684
0.35,5,-1.0,1346,1346,0.02975,-0.06857,0.5958,0.434,0.0664,-0.08663,0.6731,0.766,0.0696,-0.1009,0.5951,0.69
0.3,8,-1.0,1346,1346,0.02884,-0.06638,0.6085,0.434,0.06575,-0.08614,0.6746,0.763,0.06547,-0.10469,0.581,0.625
0.4,8,-1.0,1819,1819,0.02898,-0.06861,0.5932,0.422,0.06205,-0.09252,0.6317,0.671,0.06531,-0.10763,0.5734,0.607
0.3,5,none,1294,1294,0.02779,-0.06769,0.5958,0.41,0.06579,-0.08524,0.6878,0.772,0.06111,-0.10261,0.5858,0.596
0.4,5,-1.0,1554,1554,0.02786,-0.06986,0.5888,0.399,0.06281,-0.09125,0.6493,0.688,0.06826,-0.1055,0.5792,0.647
0.3,8,none,1501,1501,0.02679,-0.06737,0.5803,0.398,0.06545,-0.08821,0.6576,0.742,0.06002,-0.10838,0.5703,0.554
0.35,8,-1.0,1586,1586,0.02612,-0.0703,0.5839,0.372,0.0648,-0.0917,0.6583,0.707,0.06922,-0.10644,0.5738,0.65
0.35,3,none,1277,1277,0.02436,-0.07009,0.5834,0.348,0.06765,-0.0846,0.686,0.8,0.06297,-0.09898,0.5857,0.636
0.4,8,none,2085,2085,0.02278,-0.07188,0.5472,0.317,0.05307,-0.09916,0.6129,0.535,0.05308,-0.11696,0.5482,0.454
0.4,3,none,1468,1468,0.02238,-0.07253,0.5484,0.309,0.06467,-0.09007,0.6567,0.718,0.06285,-0.10336,0.5845,0.608
0.35,8,none,1781,1781,0.02231,-0.07216,0.5547,0.309,0.06129,-0.09466,0.6367,0.647,0.06122,-0.11161,0.5598,0.549
0.35,5,none,1524,1524,0.02219,-0.07355,0.5518,0.302,0.06554,-0.09105,0.6529,0.72,0.06339,-0.10643,0.5833,0.596
0.4,5,none,1777,1777,0.01895,-0.07457,0.5369,0.254,0.05988,-0.09646,0.628,0.621,0.05601,-0.11237,0.5532,0.498
