scene,factor,target,n,pearson_r,pearson_p,spearman_r,abs_pearson
sceneB_T1_entry,score_volume_total,ret_20,105274,-0.0477,4.308995665871255e-54,-0.1053,0.0477
sceneB_T1_entry,upper_wick_ratio,ret_5,106440,-0.0474,5.248328984556128e-54,-0.0335,0.0474
sceneB_T1_entry,atr_raw,ret_20,90119,-0.045,1.4765139995246515e-41,-0.0885,0.045
sceneB_T1_entry,event_index,hold_ret_t1,106412,0.0443,1.9378574598797308e-47,-0.0793,0.0443
sceneB_T1_entry,dir_consistent,ret_20,105274,0.0441,1.4107001995217547e-46,0.0326,0.0441
sceneB_T1_entry,dir_consistent,ret_20,105274,0.0441,1.4107001995217547e-46,0.0326,0.0441
sceneB_T1_entry,vol_zscore,ret_10,88568,-0.0426,6.274992011247843e-37,-0.0759,0.0426
sceneB_T1_entry,range_width_atr,ret_10,90935,0.0412,1.973287704804487e-35,0.1055,0.0412
sceneB_T1_entry,position_in_structure,hold_ret_t1,81067,-0.0404,1.1155402392748666e-30,-0.1008,0.0404
sceneB_T1_entry,atr_raw,hold_ret,91257,-0.0401,7.807430411099397e-34,-0.1517,0.0401
sceneB_T1_entry,upper,ret_20,90119,-0.0395,1.5594593195214188e-32,-0.0783,0.0395
sceneB_T1_entry,event_seq,hold_ret_t1,106412,0.0394,6.84006860422419e-38,-0.0895,0.0394
sceneB_T1_entry,vol_zscore,ret_5,88918,-0.0393,9.475609215438062e-32,-0.0719,0.0393
sceneB_T1_entry,score_candle_total,ret_5,106440,0.039,4.2593963155692005e-37,0.0346,0.039
sceneB_T1_entry,lower,ret_20,90119,-0.0379,4.5615493479914916e-30,-0.0765,0.0379
sceneB_T1_entry,atr_raw,hold_ret_t1,91257,-0.037,5.346301313367837e-29,-0.1589,0.037
sceneB_T1_entry,score_trend_total,ret_20,105274,-0.0364,3.0727541012562223e-32,-0.0918,0.0364
sceneB_T1_entry,breakout_quality_score,ret_20,105274,-0.0356,8.154829475163604e-31,-0.0873,0.0356
sceneB_T1_entry,vol_record_days,ret_10,106090,-0.0354,1.0013436011119317e-30,-0.0523,0.0354
sceneB_T1_entry,rope_slope_atr_5,ret_20,90119,-0.034,1.7555063400320333e-24,-0.066,0.034
sceneB_T1_entry,nearest_high,ret_20,82199,-0.0339,2.284861897210299e-22,-0.0602,0.0339
sceneB_T1_entry,rope_slope_atr_5,hold_ret_t1,91257,-0.0335,4.017121332608911e-24,-0.0771,0.0335
sceneB_T1_entry,high,ret_20,105274,-0.0325,5.742426647823358e-26,-0.0601,0.0325
sceneB_T1_entry,nearest_low,ret_20,86212,-0.0325,1.3585100120119334e-21,-0.0636,0.0325
sceneB_T1_entry,score_trend_total,hold_ret,106412,0.0323,6.502485986446487e-26,-0.0844,0.0323
sceneB_T1_entry,atr_raw,ret_5,91285,-0.0322,2.1113719111821716e-22,-0.0592,0.0322
sceneB_T1_entry,close,ret_20,105274,-0.0316,1.0049996732392958e-24,-0.0588,0.0316
sceneB_T1_entry,vol,ret_20,105274,-0.0316,1.2615315775775993e-24,-0.13,0.0316
sceneB_T1_entry,body_to_range,ret_5,106440,0.0314,1.1553757392609743e-24,0.0304,0.0314
sceneB_T1_entry,upper_wick_ratio,hold_ret,106412,-0.0306,1.9396834173908816e-23,-0.0108,0.0306
sceneB_T1_entry,open,ret_20,105274,-0.0304,5.524055818687723e-23,-0.056,0.0304
sceneB_T1_entry,rope,ret_20,105274,-0.0301,1.563971740865808e-22,-0.0565,0.0301
sceneB_T1_entry,amount,ret_10,106090,-0.03,1.602866380125887e-22,-0.1312,0.03
sceneB_T1_entry,low,ret_20,105274,-0.0298,3.489268960236887e-22,-0.0552,0.0298
sceneB_T1_entry,vol_zscore,ret_20,87752,-0.0297,1.2105571694341444e-18,-0.053,0.0297
sceneB_T1_entry,atr_raw,ret_10,90935,-0.0292,1.151453060101999e-18,-0.062,0.0292
sceneB_T1_entry,upper,hold_ret,91257,-0.0288,3.395182745249491e-18,-0.0993,0.0288
sceneB_T1_entry,high,hold_ret,106412,-0.0287,7.760702181928536e-21,-0.0904,0.0287
sceneB_T1_entry,upper_wick_ratio,ret_10,106090,-0.0283,3.207012377142704e-20,-0.0217,0.0283
sceneB_T1_entry,close,hold_ret,106412,-0.028,6.02561823002569e-20,-0.0886,0.028
sceneB_T1_entry,rope,hold_ret,106412,-0.0276,2.3600198091307343e-19,-0.084,0.0276
sceneB_T1_entry,open,hold_ret,106412,-0.0274,4.398823771092751e-19,-0.0846,0.0274
sceneB_T1_entry,range_width_atr,ret_5,91285,0.0274,1.2262719556195892e-16,0.0898,0.0274
sceneB_T1_entry,score_freshness_total,hold_ret_t1,106412,-0.0271,1.0153189011024199e-18,-0.038,0.0271
sceneB_T1_entry,low,hold_ret,106412,-0.0269,1.5341563384155617e-18,-0.0834,0.0269
sceneB_T1_entry,lower,hold_ret,91257,-0.0265,1.1859128055660026e-15,-0.0904,0.0265
sceneB_T1_entry,score_freshness_total,hold_ret,106412,-0.0265,5.800722714279893e-18,-0.0396,0.0265
sceneB_T1_entry,high_break_flag,ret_20,105274,-0.026,3.538654779393118e-17,-0.0642,0.026
sceneB_T1_entry,amount,ret_5,106440,-0.0259,2.893560498415981e-17,-0.1042,0.0259
sceneB_T1_entry,amount,hold_ret,106412,-0.0256,7.079995872328921e-17,-0.1921,0.0256
sceneB_T1_entry,nearest_high,hold_ret,83209,-0.0255,1.8190086556907446e-13,-0.0908,0.0255
sceneB_T1_entry,upper,ret_5,91285,-0.0255,1.3652559096137673e-14,-0.0445,0.0255
sceneB_T1_entry,high,ret_5,106440,-0.0249,4.886275529532985e-16,-0.0426,0.0249
sceneB_T1_entry,score_freshness_total,ret_20,105274,-0.0249,5.934965563484543e-16,-0.0446,0.0249
sceneB_T1_entry,upper,hold_ret_t1,91257,-0.0246,9.744797981098644e-14,-0.0956,0.0246
sceneB_T1_entry,upper,ret_10,90935,-0.0246,1.245827230845262e-13,-0.0483,0.0246
sceneB_T1_entry,high,hold_ret_t1,106412,-0.0241,4.079640611130131e-15,-0.0803,0.0241
sceneB_T1_entry,rope,ret_5,106440,-0.0241,3.9959039652796246e-15,-0.0421,0.0241
sceneB_T1_entry,score_trend_total,ret_10,106090,0.0241,3.84282763731924e-15,-0.026,0.0241
sceneB_T1_entry,lower,ret_5,91285,-0.0239,4.62695098349625e-13,-0.0422,0.0239
sceneB_T1_entry,close,ret_5,106440,-0.0238,7.690833006179395e-15,-0.0413,0.0238
sceneB_T1_entry,close,hold_ret_t1,106412,-0.0237,1.0307340179805677e-14,-0.079,0.0237
sceneB_T1_entry,open,ret_5,106440,-0.0235,1.7454205917420325e-14,-0.0396,0.0235
sceneB_T1_entry,lower,ret_10,90935,-0.0234,1.7887610695217286e-12,-0.046,0.0234
sceneB_T1_entry,low,ret_5,106440,-0.0229,8.921505167747338e-14,-0.0387,0.0229
sceneB_T1_entry,rope,hold_ret_t1,106412,-0.0229,7.204195165269009e-14,-0.0723,0.0229
sceneB_T1_entry,nearest_high,hold_ret_t1,83209,-0.0228,4.484404073259844e-11,-0.0928,0.0228
sceneB_T1_entry,open,hold_ret_t1,106412,-0.0227,1.2016576844089553e-13,-0.0743,0.0227
sceneB_T1_entry,vol_record_days,ret_5,106440,-0.0227,1.2979916708385936e-13,-0.0279,0.0227
sceneB_T1_entry,vol_record_days,hold_ret,106412,-0.0226,1.485283441139695e-13,-0.0841,0.0226
sceneB_T1_entry,low,hold_ret_t1,106412,-0.0225,2.1194191320540015e-13,-0.0734,0.0225
sceneB_T1_entry,nearest_high,ret_10,82923,-0.0225,9.671504940153347e-11,-0.0382,0.0225
sceneB_T1_entry,close_pos,ret_5,106440,0.0223,3.7506974966775687e-13,0.0312,0.0223
sceneB_T1_entry,lower,hold_ret_t1,91257,-0.0223,1.670964362742222e-11,-0.0851,0.0223
sceneB_T1_entry,nearest_high,ret_5,83219,-0.0221,1.868874210339339e-10,-0.0321,0.0221
sceneB_T1_entry,nearest_low,hold_ret,87256,-0.0215,2.1134127839044793e-10,-0.0734,0.0215
sceneB_T1_entry,range_width_atr,ret_20,90119,0.0215,9.821897241158614e-11,0.08,0.0215
sceneB_T1_entry,range_width_atr,hold_ret_t1,91257,0.0214,1.0204269209743662e-10,0.094,0.0214
sceneB_T1_entry,event_index,ret_20,105274,0.0213,4.276998307299537e-12,-0.0255,0.0213
sceneB_T1_entry,breakout_watch_flag,ret_20,105274,-0.0211,7.757524819592387e-12,-0.0509,0.0211
sceneB_T1_entry,vol_zscore,hold_ret,88890,-0.0211,2.9870996049686715e-10,-0.0591,0.0211
sceneB_T1_entry,nearest_low,ret_10,87018,-0.0209,7.05148275831999e-10,-0.0376,0.0209
sceneB_T1_entry,nearest_low,ret_5,87310,-0.0208,8.316281103500108e-10,-0.0336,0.0208
sceneB_T1_entry,score_candle_total,ret_10,106090,0.0206,1.805336438532491e-11,0.0232,0.0206
sceneB_T1_entry,high,ret_10,106090,-0.0203,3.824952819258606e-11,-0.0383,0.0203
sceneB_T1_entry,n_high_levels_broken,ret_20,105274,-0.0202,5.441121381074434e-11,-0.0642,0.0202
sceneB_T1_entry,close,ret_10,106090,-0.0195,2.3105438472978787e-10,-0.0371,0.0195
sceneB_T1_entry,vol_record_days,hold_ret_t1,106412,-0.0194,2.448820539485422e-10,-0.0856,0.0194
sceneB_T1_entry,rope,ret_10,106090,-0.0191,4.496543656703786e-10,-0.0368,0.0191
sceneB_T1_entry,breakout_quality_score,hold_ret,106412,0.019,6.238781174827177e-10,-0.0861,0.019
sceneB_T1_entry,open,ret_10,106090,-0.0188,9.327283869808822e-10,-0.0348,0.0188
sceneB_T1_entry,low,ret_10,106090,-0.0182,2.9023645937638875e-09,-0.034,0.0182
sceneB_T1_entry,nearest_low,hold_ret_t1,87256,-0.017,5.325588779240007e-07,-0.0679,0.017
sceneB_T1_entry,score_volume_total,ret_5,106440,0.0168,4.6126900374839894e-08,-0.0057,0.0168
sceneB_T1_entry,amount,hold_ret_t1,106412,-0.0165,7.837772018581562e-08,-0.1654,0.0165
sceneB_T1_entry,rope_slope_atr_5,ret_10,90935,-0.0165,6.581585119252743e-07,-0.0585,0.0165
sceneB_T1_entry,vol,ret_10,106090,-0.0163,1.1032724314905404e-07,-0.0949,0.0163
sceneB_T1_entry,score_candle_total,hold_ret,106412,0.0157,3.224014496567623e-07,-0.0015,0.0157
sceneB_T1_entry,upper_wick_ratio,ret_20,105274,-0.0149,1.2658997147589642e-06,-0.0066,0.0149
sceneB_T1_entry,body_to_range,ret_10,106090,0.0142,3.6487283852540886e-06,0.0177,0.0142
sceneB_T1_entry,n_high_levels_broken,ret_5,106440,0.0142,3.5911876962348444e-06,-0.0188,0.0142
sceneB_T1_entry,vol,hold_ret,106412,-0.0142,3.881848098174032e-06,-0.1185,0.0142
sceneB_T1_entry,n_high_levels_broken,hold_ret,106412,0.0139,5.99862531718322e-06,-0.0455,0.0139
sceneB_T1_entry,breakout_watch_flag,ret_5,106440,0.0136,9.114756583775748e-06,-0.0227,0.0136
sceneB_T1_entry,breakout_quality_score,ret_10,106090,0.013,2.4169411086880565e-05,-0.0267,0.013
sceneB_T1_entry,score_volume_total,ret_10,106090,-0.0127,3.396626400569106e-05,-0.0471,0.0127
sceneB_T1_entry,event_seq,ret_20,105274,0.0124,5.8281590582557786e-05,-0.0323,0.0124
sceneB_T1_entry,range_width_atr,hold_ret,91257,0.0123,0.00020318739007293082,0.1002,0.0123
sceneB_T1_entry,bull_pct,hold_ret,106412,-0.0122,7.232940869229994e-05,-0.0192,0.0122
sceneB_T1_entry,delta_pct,hold_ret,106412,-0.0122,7.232940869229994e-05,-0.0192,0.0122
sceneB_T1_entry,dir_consistent,hold_ret_t1,106412,0.0119,0.0001080310762876418,-0.1767,0.0119
sceneB_T1_entry,dir_consistent,hold_ret_t1,106412,0.0119,0.0001080310762876418,-0.1767,0.0119
sceneB_T1_entry,ret_t1,hold_ret_t1,106412,0.0117,0.00012910938662392046,-0.051,0.0117
sceneB_T1_entry,vol_zscore,hold_ret_t1,88890,-0.0111,0.0009284958471365389,-0.0277,0.0111
sceneB_T1_entry,breakout_watch_flag,hold_ret_t1,106412,-0.011,0.00032981044649714865,-0.0548,0.011
sceneB_T1_entry,high_break_flag,ret_5,106440,0.0109,0.00039945400646754974,-0.0188,0.0109
sceneB_T1_entry,close_pos,ret_10,106090,0.0108,0.0004273138404101534,0.021,0.0108
sceneB_T1_entry,upper_wick_ratio,hold_ret_t1,106412,-0.0103,0.0007434103047896923,0.0189,0.0103
sceneB_T1_entry,bull_pct,hold_ret_t1,106412,-0.0099,0.001203529767412013,-0.0143,0.0099
sceneB_T1_entry,delta_pct,hold_ret_t1,106412,-0.0099,0.001203529767412013,-0.0143,0.0099
sceneB_T1_entry,score_candle_total,ret_20,105274,0.0097,0.0016146287370084238,0.0071,0.0097
sceneB_T1_entry,vol,hold_ret_t1,106412,-0.0086,0.005240883739529194,-0.1007,0.0086
sceneB_T1_entry,high_break_flag,ret_10,106090,-0.0084,0.006136966116977323,-0.0408,0.0084
sceneB_T1_entry,score_volume_total,hold_ret_t1,106412,-0.0084,0.00635863462190014,-0.1218,0.0084
sceneB_T1_entry,high_break_flag,hold_ret,106412,0.0081,0.00857586575675891,-0.0459,0.0081
sceneB_T1_entry,body_to_range,hold_ret,106412,0.008,0.008812457500398631,-0.0122,0.008
sceneB_T1_entry,body_to_range,hold_ret_t1,106412,-0.0075,0.014607914027594903,-0.0422,0.0075
sceneB_T1_entry,rope_slope_atr_5,hold_ret,91257,-0.0075,0.023244817289674632,-0.064,0.0075
sceneB_T1_entry,breakout_watch_flag,ret_10,106090,-0.0071,0.020180876267412145,-0.0379,0.0071
sceneB_T1_entry,bull_pct,ret_20,105274,-0.007,0.022861476936194693,-0.0034,0.007
sceneB_T1_entry,delta_pct,ret_20,105274,-0.007,0.022861476936194693,-0.0034,0.007
sceneB_T1_entry,vol,ret_5,106440,-0.0068,0.027082583841420607,-0.0687,0.0068
sceneB_T1_entry,high_break_flag,hold_ret_t1,106412,-0.0067,0.027890231848759307,-0.066,0.0067
sceneB_T1_entry,close_pos,hold_ret_t1,106412,-0.0058,0.058542619996087876,-0.0202,0.0058
sceneB_T1_entry,breakout_quality_score,hold_ret_t1,106412,-0.0047,0.12745028053011875,-0.1257,0.0047
sceneB_T1_entry,body_to_range,ret_20,105274,0.0038,0.21312512722197174,-0.0002,0.0038
sceneB_T1_entry,close_pos,ret_20,105274,0.0037,0.22608579251297756,0.0073,0.0037
sceneB_T1_entry,breakout_watch_flag,hold_ret,106412,0.0036,0.2357109418025299,-0.0453,0.0036
sceneB_T1_entry,score_freshness_total,ret_10,106090,-0.0036,0.23980660569137122,-0.0171,0.0036
sceneB_T1_entry,n_high_levels_broken,hold_ret_t1,106412,-0.0027,0.3782402856043838,-0.0661,0.0027
sceneB_T1_entry,bull_pct,ret_10,106090,-0.0025,0.4195637886707577,0.0036,0.0025
sceneB_T1_entry,delta_pct,ret_10,106090,-0.0025,0.4195637886707577,0.0036,0.0025
sceneB_T1_entry,n_high_levels_broken,ret_10,106090,-0.0025,0.4116326568978378,-0.0407,0.0025
sceneB_T1_entry,dist_to_rope_atr,ret_20,90119,0.0019,0.5641983948558554,0.0032,0.0019
sceneB_T1_entry,score_volume_total,hold_ret,106412,-0.0019,0.5365823210858884,-0.1032,0.0019
sceneB_T1_entry,dist_to_rope_atr,ret_5,91285,-0.0015,0.6427289180261055,-0.0009,0.0015
sceneB_T1_entry,bull_pct,ret_5,106440,0.0013,0.6827069393407543,0.0065,0.0013
sceneB_T1_entry,delta_pct,ret_5,106440,0.0013,0.6827069393407543,0.0065,0.0013
sceneB_T1_entry,close_pos,hold_ret,106412,0.0011,0.709756259539715,0.0023,0.0011
sceneB_T1_entry,dist_to_rope_atr,hold_ret_t1,91257,0.0011,0.7360955952376617,0.0032,0.0011
sceneB_T1_entry,score_trend_total,hold_ret_t1,106412,0.0011,0.7218924085666037,-0.1364,0.0011
sceneB_T1_entry,rope_slope_atr_5,ret_5,91285,0.001,0.7543004269368055,-0.0462,0.001
sceneB_T1_entry,score_candle_total,hold_ret_t1,106412,-0.0007,0.8176392059490725,-0.0286,0.0007
sceneB_T1_entry,score_freshness_total,ret_5,106440,-0.0006,0.843616810647182,-0.0115,0.0006
sceneB_T1_entry,dist_to_rope_atr,ret_10,90935,-0.0005,0.8857323832976041,-0.0005,0.0005
sceneB_T1_entry,dist_to_rope_atr,hold_ret,91257,-0.0,0.9912721823077966,-0.0007,0.0
sceneB_T1_entry,rope_dir,hold_ret_t1,106412,,,,
sceneB_T1_entry,rope_dir,hold_ret,106412,,,,
sceneB_T1_entry,rope_dir,ret_5,106440,,,,
sceneB_T1_entry,rope_dir,ret_10,106090,,,,
sceneB_T1_entry,rope_dir,ret_20,105274,,,,
