factor,target,group,mean,median,std,count,win_rate,monotonic,spread
breakout_quality_score,hold_ret,Q2,0.013011604940206171,-0.018187521387019484,0.1343739003637176,21282,0.39704914951602294,False,0.012358155536073357
breakout_quality_score,hold_ret,Q3,0.007823363106292017,-0.022297255066847772,0.12436858761488606,21282,0.3749647589512264,False,0.012358155536073357
breakout_quality_score,hold_ret,Q4,0.009282748409440192,-0.023868658095311454,0.14406631079958804,21282,0.37435391410581714,False,0.012358155536073357
breakout_quality_score,hold_ret,Q5,0.00843565997317752,-0.028537455410225877,0.14409326423431792,21283,0.35652868486585537,False,0.012358155536073357
breakout_quality_score,ret_5,Q1,-0.00642674979497754,-0.008304115433180801,0.0698658176298244,21288,0.41812288613303267,False,0.01441129402094412
breakout_quality_score,ret_5,Q2,0.007381410364502495,0.00029126921946279996,0.07992268830004247,21288,0.5004697482149568,False,0.01441129402094412
breakout_quality_score,ret_5,Q3,0.007984544225966578,-0.00050168832638675,0.0860165562388593,21288,0.48839721909056744,False,0.01441129402094412
breakout_quality_score,ret_5,Q4,0.007755245002612999,-0.0031655590383274004,0.0935448042126072,21288,0.4703119128147313,False,0.01441129402094412
breakout_quality_score,ret_5,Q5,0.007269990621693547,-0.0077922077922079,0.10805950177925913,21288,0.4449924840285607,False,0.01441129402094412
breakout_quality_score,ret_10,Q1,0.002539701896945884,0.0,0.09410562853224225,21218,0.49293053068149684,False,0.009474669147435635
breakout_quality_score,ret_10,Q2,0.012014371044381519,0.00393121247478995,0.10975944605174176,21218,0.5227165614101235,False,0.009474669147435635
breakout_quality_score,ret_10,Q3,0.011209173427819435,0.00173523499592305,0.11464821205370897,21218,0.5065510415684796,False,0.009474669147435635
breakout_quality_score,ret_10,Q4,0.010014675332507546,-0.0015163010990021,0.12349684832030486,21218,0.4884060703176548,False,0.009474669147435635
breakout_quality_score,ret_10,Q5,0.007045981529576016,-0.008817051049494599,0.137372011793342,21218,0.45046658497502123,False,0.009474669147435635
breakout_quality_score,ret_20,Q1,0.028545616007884266,0.0205371248025276,0.12757271497193323,21055,0.5851341724056044,True,0.016782646295391675
breakout_quality_score,ret_20,Q2,0.021616492356367364,0.0075187969924812,0.1588909083480528,21055,0.5258133459985752,True,0.016782646295391675
breakout_quality_score,ret_20,Q3,0.018512657753814495,0.0019029512945861,0.1619624824082222,21054,0.5052721573097748,True,0.016782646295391675
breakout_quality_score,ret_20,Q4,0.016996161770490455,-0.0030211480362538,0.18325361178490254,21055,0.48696271669437186,True,0.016782646295391675
breakout_quality_score,ret_20,Q5,0.01176296971249259,-0.0120481927710844,0.18438987798060896,21055,0.45452386606506767,True,0.016782646295391675
close,hold_ret,Q1,0.013688258670827949,-0.013377926421404692,0.12638138663404358,21323,0.3750879332176523,True,0.014014419517552673
close,hold_ret,Q2,0.01084240191232765,-0.01547987616099075,0.13447923177398582,21283,0.37137621575905655,True,0.014014419517552673
close,hold_ret,Q3,0.008309153578751203,-0.017737681129938995,0.12361705336760738,21282,0.36199605300253734,True,0.014014419517552673
close,hold_ret,Q4,0.006674988733966018,-0.02020699852143914,0.12772154596320545,21255,0.353610915078805,True,0.014014419517552673
close,hold_ret,Q5,-0.00032616084672472363,-0.025717111770524215,0.12789921650578717,21269,0.33137430062532325,True,0.014014419517552673
close,ret_5,Q1,0.009526639568802878,-0.002132196162047,0.08457537226911968,21310,0.4674800563115908,True,0.009799449391836327
