factor,target,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson
amount,ret_5,106440,-0.0259,2.893560498415981e-17,-0.1042,1.7415213862399326e-254,0.0259
upper,ret_5,91285,-0.0255,1.3652559096137673e-14,-0.0445,2.6498994203788726e-41,0.0255
flip1_close,ret_5,106274,0.0249,4.95104830341346e-16,0.0179,5.031276305362339e-09,0.0249
high,ret_5,106440,-0.0249,4.886275529532985e-16,-0.0426,7.235193792989128e-44,0.0249
score_freshness_total,ret_20,105274,-0.0249,5.934965563484543e-16,-0.0446,1.9825898973431725e-47,0.0249
upper,ret_10,90935,-0.0246,1.245827230845262e-13,-0.0483,3.6314709537647866e-48,0.0246
t1_close,ret_20,105274,-0.0245,1.983895559798492e-15,-0.0472,6.169675343288872e-53,0.0245
rope,ret_5,106440,-0.0241,3.9959039652796246e-15,-0.0421,5.320025001745939e-43,0.0241
score_trend_total,ret_10,106090,0.0241,3.84282763731924e-15,-0.026,2.218661201892315e-17,0.0241
lower,ret_5,91285,-0.0239,4.62695098349625e-13,-0.0422,2.9503184114313628e-37,0.0239
close,ret_5,106440,-0.0238,7.690833006179395e-15,-0.0413,1.9060800485791155e-41,0.0238
open,ret_5,106440,-0.0235,1.7454205917420325e-14,-0.0396,3.952014190315405e-38,0.0235
lower,ret_10,90935,-0.0234,1.7887610695217286e-12,-0.046,7.804120260639601e-44,0.0234
low,ret_5,106440,-0.0229,8.921505167747338e-14,-0.0387,1.5429050763031967e-36,0.0229
vol_record_days,ret_5,106440,-0.0227,1.2979916708385936e-13,-0.0279,8.171985235933815e-20,0.0227
nearest_high,ret_10,82923,-0.0225,9.671504940153347e-11,-0.0382,3.1315549200605877e-28,0.0225
close_pos,ret_5,106440,0.0223,3.7506974966775687e-13,0.0312,2.5283548016134072e-24,0.0223
nearest_high,ret_5,83219,-0.0221,1.868874210339339e-10,-0.0321,1.9203884951472282e-20,0.0221
range_width_atr,ret_20,90119,0.0215,9.821897241158614e-11,0.08,1.0000517719332794e-127,0.0215
event_index,ret_20,105274,0.0213,4.276998307299537e-12,-0.0255,1.39927706257111e-16,0.0213
breakout_watch_flag,ret_20,105274,-0.0211,7.757524819592387e-12,-0.0509,1.8648462142371204e-61,0.0211
flip1_close,ret_20,105272,0.0209,1.2518732258526175e-11,0.0016,0.6074823640257945,0.0209
nearest_low,ret_10,87018,-0.0209,7.05148275831999e-10,-0.0376,1.2921318033749037e-28,0.0209
nearest_low,ret_5,87310,-0.0208,8.316281103500108e-10,-0.0336,3.090386059253433e-23,0.0208
score_candle_total,ret_10,106090,0.0206,1.805336438532491e-11,0.0232,3.629707725425621e-14,0.0206
t1_open,ret_5,106440,-0.0204,2.8701272427660428e-11,-0.0368,2.688911272520381e-33,0.0204
high,ret_10,106090,-0.0203,3.824952819258606e-11,-0.0383,9.458643275054312e-36,0.0203
n_high_levels_broken,ret_20,105274,-0.0202,5.441121381074434e-11,-0.0642,1.9100345322437838e-96,0.0202
close,ret_10,106090,-0.0195,2.3105438472978787e-10,-0.0371,1.3356153992765753e-33,0.0195
rope,ret_10,106090,-0.0191,4.496543656703786e-10,-0.0368,4.267960854162931e-33,0.0191
open,ret_10,106090,-0.0188,9.327283869808822e-10,-0.0348,8.176332406636005e-30,0.0188
low,ret_10,106090,-0.0182,2.9023645937638875e-09,-0.034,1.4377703412661652e-28,0.0182
flip1_dist_to_rope_atr,ret_10,92666,-0.017,2.449510898273135e-07,-0.0032,0.32567902978533303,0.017
score_volume_total,ret_5,106440,0.0168,4.6126900374839894e-08,-0.0057,0.0625722023374479,0.0168
t1_open,ret_10,106090,-0.0166,6.573007932861042e-08,-0.0331,3.926641893363711e-27,0.0166
rope_slope_atr_5,ret_10,90935,-0.0165,6.581585119252743e-07,-0.0585,1.1715639110218364e-69,0.0165
t1_low,ret_5,106440,-0.0165,7.412421170451007e-08,-0.0302,7.275336141759339e-23,0.0165
flip1_dist_to_rope_atr,ret_20,91866,-0.0163,7.503292040153992e-07,0.0055,0.09313993616447437,0.0163
vol,ret_10,106090,-0.0163,1.1032724314905404e-07,-0.0949,1.3435686117235467e-210,0.0163
upper_wick_ratio,ret_20,105274,-0.0149,1.2658997147589642e-06,-0.0066,0.03347442669360141,0.0149
t1_high,ret_5,106440,-0.0145,2.23111447434214e-06,-0.0295,5.613730958142318e-22,0.0145
body_to_range,ret_10,106090,0.0142,3.6487283852540886e-06,0.0177,8.090876335847271e-09,0.0142
n_high_levels_broken,ret_5,106440,0.0142,3.5911876962348444e-06,-0.0188,8.194105270345409e-10,0.0142
breakout_watch_flag,ret_5,106440,0.0136,9.114756583775748e-06,-0.0227,1.3371015318603616e-13,0.0136
t1_low,ret_10,106090,-0.0136,1.0144438165431906e-05,-0.0278,1.2495622108317556e-19,0.0136
breakout_quality_score,ret_10,106090,0.013,2.4169411086880565e-05,-0.0267,2.9711301388041183e-18,0.013
score_volume_total,ret_10,106090,-0.0127,3.396626400569106e-05,-0.0471,4.5694169796904235e-53,0.0127
event_seq,ret_20,105274,0.0124,5.8281590582557786e-05,-0.0323,1.1852049171491713e-25,0.0124
t1_high,ret_10,106090,-0.0122,6.71934432278063e-05,-0.0281,5.75434603596135e-20,0.0122
high_break_flag,ret_5,106440,0.0109,0.00039945400646754974,-0.0188,9.399053324093151e-10,0.0109
t1_close,ret_5,106440,-0.0109,0.00038323527634882365,-0.0227,1.159247592046015e-13,0.0109
close_pos,ret_10,106090,0.0108,0.0004273138404101534,0.021,8.37128918836397e-12,0.0108
score_candle_total,ret_20,105274,0.0097,0.0016146287370084238,0.0071,0.02121819464965491,0.0097
t1_close,ret_10,106090,-0.0092,0.002792397979676704,-0.0223,4.2149442154050504e-13,0.0092
high_break_flag,ret_10,106090,-0.0084,0.006136966116977323,-0.0408,2.3467107522713475e-40,0.0084
breakout_watch_flag,ret_10,106090,-0.0071,0.020180876267412145,-0.0379,4.58616268125615e-35,0.0071
bull_pct,ret_20,105274,-0.007,0.022861476936194693,-0.0034,0.27188426997671283,0.007
delta_pct,ret_20,105274,-0.007,0.022861476936194693,-0.0034,0.27188426997671283,0.007
vol,ret_5,106440,-0.0068,0.027082583841420607,-0.0687,1.4273030790198968e-111,0.0068
flip1_rope_dir,ret_20,105272,-0.0049,0.10902735251903309,-0.0422,1.1064035870481977e-42,0.0049
body_to_range,ret_20,105274,0.0038,0.21312512722197174,-0.0002,0.9372999618907372,0.0038
close_pos,ret_20,105274,0.0037,0.22608579251297756,0.0073,0.01760010275686676,0.0037
score_freshness_total,ret_10,106090,-0.0036,0.23980660569137122,-0.0171,2.7407305869292993e-08,0.0036
bull_pct,ret_10,106090,-0.0025,0.4195637886707577,0.0036,0.2370361425140593,0.0025
delta_pct,ret_10,106090,-0.0025,0.4195637886707577,0.0036,0.2370361425140593,0.0025
n_high_levels_broken,ret_10,106090,-0.0025,0.4116326568978378,-0.0407,4.177248448280293e-40,0.0025
dist_to_rope_atr,ret_20,90119,0.0019,0.5641983948558554,0.0032,0.33540134889673656,0.0019
dist_to_rope_atr,ret_5,91285,-0.0015,0.6427289180261055,-0.0009,0.7945889055216158,0.0015
bull_pct,ret_5,106440,0.0013,0.6827069393407543,0.0065,0.033814712518662,0.0013
delta_pct,ret_5,106440,0.0013,0.6827069393407543,0.0065,0.033814712518662,0.0013
rope_slope_atr_5,ret_5,91285,0.001,0.7543004269368055,-0.0462,2.2706846156266393e-44,0.001
score_freshness_total,ret_5,106440,-0.0006,0.843616810647182,-0.0115,0.00018636938372462085,0.0006
dist_to_rope_atr,ret_10,90935,-0.0005,0.8857323832976041,-0.0005,0.8775391543768438,0.0005
rope_dir,ret_5,106440,,,,,
rope_dir,ret_10,106090,,,,,
rope_dir,ret_20,105274,,,,,
