scene,factor,target,n,pearson_r,pearson_p,spearman_r,abs_pearson
sceneA_T0_entry,rope,ret_20,105274,-0.0301,1.563971740865808e-22,-0.0565,0.0301
sceneA_T0_entry,amount,ret_10,106090,-0.03,1.602866380125887e-22,-0.1312,0.03
sceneA_T0_entry,low,ret_20,105274,-0.0298,3.489268960236887e-22,-0.0552,0.0298
sceneA_T0_entry,vol_zscore,ret_20,87752,-0.0297,1.2105571694341444e-18,-0.053,0.0297
sceneA_T0_entry,atr_raw,ret_10,90935,-0.0292,1.151453060101999e-18,-0.062,0.0292
sceneA_T0_entry,upper,hold_ret,91257,-0.0288,3.395182745249491e-18,-0.0993,0.0288
sceneA_T0_entry,high,hold_ret,106412,-0.0287,7.760702181928536e-21,-0.0904,0.0287
sceneA_T0_entry,upper_wick_ratio,ret_10,106090,-0.0283,3.207012377142704e-20,-0.0217,0.0283
sceneA_T0_entry,close,hold_ret,106412,-0.028,6.02561823002569e-20,-0.0886,0.028
sceneA_T0_entry,rope,hold_ret,106412,-0.0276,2.3600198091307343e-19,-0.084,0.0276
sceneA_T0_entry,open,hold_ret,106412,-0.0274,4.398823771092751e-19,-0.0846,0.0274
sceneA_T0_entry,range_width_atr,ret_5,91285,0.0274,1.2262719556195892e-16,0.0898,0.0274
sceneA_T0_entry,low,hold_ret,106412,-0.0269,1.5341563384155617e-18,-0.0834,0.0269
sceneA_T0_entry,lower,hold_ret,91257,-0.0265,1.1859128055660026e-15,-0.0904,0.0265
sceneA_T0_entry,score_freshness_total,hold_ret,106412,-0.0265,5.800722714279893e-18,-0.0396,0.0265
sceneA_T0_entry,high_break_flag,ret_20,105274,-0.026,3.538654779393118e-17,-0.0642,0.026
sceneA_T0_entry,amount,ret_5,106440,-0.0259,2.893560498415981e-17,-0.1042,0.0259
sceneA_T0_entry,amount,hold_ret,106412,-0.0256,7.079995872328921e-17,-0.1921,0.0256
sceneA_T0_entry,nearest_high,hold_ret,83209,-0.0255,1.8190086556907446e-13,-0.0908,0.0255
sceneA_T0_entry,upper,ret_5,91285,-0.0255,1.3652559096137673e-14,-0.0445,0.0255
sceneA_T0_entry,high,ret_5,106440,-0.0249,4.886275529532985e-16,-0.0426,0.0249
sceneA_T0_entry,score_freshness_total,ret_20,105274,-0.0249,5.934965563484543e-16,-0.0446,0.0249
sceneA_T0_entry,upper,ret_10,90935,-0.0246,1.245827230845262e-13,-0.0483,0.0246
sceneA_T0_entry,rope,ret_5,106440,-0.0241,3.9959039652796246e-15,-0.0421,0.0241
sceneA_T0_entry,score_trend_total,ret_10,106090,0.0241,3.84282763731924e-15,-0.026,0.0241
sceneA_T0_entry,lower,ret_5,91285,-0.0239,4.62695098349625e-13,-0.0422,0.0239
sceneA_T0_entry,close,ret_5,106440,-0.0238,7.690833006179395e-15,-0.0413,0.0238
sceneA_T0_entry,open,ret_5,106440,-0.0235,1.7454205917420325e-14,-0.0396,0.0235
sceneA_T0_entry,lower,ret_10,90935,-0.0234,1.7887610695217286e-12,-0.046,0.0234
sceneA_T0_entry,low,ret_5,106440,-0.0229,8.921505167747338e-14,-0.0387,0.0229
sceneA_T0_entry,vol_record_days,ret_5,106440,-0.0227,1.2979916708385936e-13,-0.0279,0.0227
sceneA_T0_entry,vol_record_days,hold_ret,106412,-0.0226,1.485283441139695e-13,-0.0841,0.0226
sceneA_T0_entry,nearest_high,ret_10,82923,-0.0225,9.671504940153347e-11,-0.0382,0.0225
sceneA_T0_entry,close_pos,ret_5,106440,0.0223,3.7506974966775687e-13,0.0312,0.0223
sceneA_T0_entry,nearest_high,ret_5,83219,-0.0221,1.868874210339339e-10,-0.0321,0.0221
sceneA_T0_entry,nearest_low,hold_ret,87256,-0.0215,2.1134127839044793e-10,-0.0734,0.0215
sceneA_T0_entry,range_width_atr,ret_20,90119,0.0215,9.821897241158614e-11,0.08,0.0215
sceneA_T0_entry,event_index,ret_20,105274,0.0213,4.276998307299537e-12,-0.0255,0.0213
sceneA_T0_entry,breakout_watch_flag,ret_20,105274,-0.0211,7.757524819592387e-12,-0.0509,0.0211
sceneA_T0_entry,vol_zscore,hold_ret,88890,-0.0211,2.9870996049686715e-10,-0.0591,0.0211
sceneA_T0_entry,nearest_low,ret_10,87018,-0.0209,7.05148275831999e-10,-0.0376,0.0209
sceneA_T0_entry,nearest_low,ret_5,87310,-0.0208,8.316281103500108e-10,-0.0336,0.0208
sceneA_T0_entry,score_candle_total,ret_10,106090,0.0206,1.805336438532491e-11,0.0232,0.0206
sceneA_T0_entry,high,ret_10,106090,-0.0203,3.824952819258606e-11,-0.0383,0.0203
sceneA_T0_entry,n_high_levels_broken,ret_20,105274,-0.0202,5.441121381074434e-11,-0.0642,0.0202
sceneA_T0_entry,close,ret_10,106090,-0.0195,2.3105438472978787e-10,-0.0371,0.0195
sceneA_T0_entry,rope,ret_10,106090,-0.0191,4.496543656703786e-10,-0.0368,0.0191
sceneA_T0_entry,breakout_quality_score,hold_ret,106412,0.019,6.238781174827177e-10,-0.0861,0.019
sceneA_T0_entry,open,ret_10,106090,-0.0188,9.327283869808822e-10,-0.0348,0.0188
sceneA_T0_entry,low,ret_10,106090,-0.0182,2.9023645937638875e-09,-0.034,0.0182
sceneA_T0_entry,score_volume_total,ret_5,106440,0.0168,4.6126900374839894e-08,-0.0057,0.0168
sceneA_T0_entry,rope_slope_atr_5,ret_10,90935,-0.0165,6.581585119252743e-07,-0.0585,0.0165
sceneA_T0_entry,vol,ret_10,106090,-0.0163,1.1032724314905404e-07,-0.0949,0.0163
sceneA_T0_entry,score_candle_total,hold_ret,106412,0.0157,3.224014496567623e-07,-0.0015,0.0157
sceneA_T0_entry,upper_wick_ratio,ret_20,105274,-0.0149,1.2658997147589642e-06,-0.0066,0.0149
sceneA_T0_entry,body_to_range,ret_10,106090,0.0142,3.6487283852540886e-06,0.0177,0.0142
sceneA_T0_entry,n_high_levels_broken,ret_5,106440,0.0142,3.5911876962348444e-06,-0.0188,0.0142
sceneA_T0_entry,vol,hold_ret,106412,-0.0142,3.881848098174032e-06,-0.1185,0.0142
sceneA_T0_entry,n_high_levels_broken,hold_ret,106412,0.0139,5.99862531718322e-06,-0.0455,0.0139
sceneA_T0_entry,breakout_watch_flag,ret_5,106440,0.0136,9.114756583775748e-06,-0.0227,0.0136
sceneA_T0_entry,breakout_quality_score,ret_10,106090,0.013,2.4169411086880565e-05,-0.0267,0.013
sceneA_T0_entry,score_volume_total,ret_10,106090,-0.0127,3.396626400569106e-05,-0.0471,0.0127
sceneA_T0_entry,event_seq,ret_20,105274,0.0124,5.8281590582557786e-05,-0.0323,0.0124
sceneA_T0_entry,range_width_atr,hold_ret,91257,0.0123,0.00020318739007293082,0.1002,0.0123
sceneA_T0_entry,bull_pct,hold_ret,106412,-0.0122,7.232940869229994e-05,-0.0192,0.0122
sceneA_T0_entry,delta_pct,hold_ret,106412,-0.0122,7.232940869229994e-05,-0.0192,0.0122
sceneA_T0_entry,high_break_flag,ret_5,106440,0.0109,0.00039945400646754974,-0.0188,0.0109
sceneA_T0_entry,close_pos,ret_10,106090,0.0108,0.0004273138404101534,0.021,0.0108
sceneA_T0_entry,score_candle_total,ret_20,105274,0.0097,0.0016146287370084238,0.0071,0.0097
sceneA_T0_entry,high_break_flag,ret_10,106090,-0.0084,0.006136966116977323,-0.0408,0.0084
sceneA_T0_entry,high_break_flag,hold_ret,106412,0.0081,0.00857586575675891,-0.0459,0.0081
sceneA_T0_entry,body_to_range,hold_ret,106412,0.008,0.008812457500398631,-0.0122,0.008
sceneA_T0_entry,rope_slope_atr_5,hold_ret,91257,-0.0075,0.023244817289674632,-0.064,0.0075
sceneA_T0_entry,breakout_watch_flag,ret_10,106090,-0.0071,0.020180876267412145,-0.0379,0.0071
sceneA_T0_entry,bull_pct,ret_20,105274,-0.007,0.022861476936194693,-0.0034,0.007
sceneA_T0_entry,delta_pct,ret_20,105274,-0.007,0.022861476936194693,-0.0034,0.007
sceneA_T0_entry,vol,ret_5,106440,-0.0068,0.027082583841420607,-0.0687,0.0068
sceneA_T0_entry,body_to_range,ret_20,105274,0.0038,0.21312512722197174,-0.0002,0.0038
sceneA_T0_entry,close_pos,ret_20,105274,0.0037,0.22608579251297756,0.0073,0.0037
sceneA_T0_entry,breakout_watch_flag,hold_ret,106412,0.0036,0.2357109418025299,-0.0453,0.0036
sceneA_T0_entry,score_freshness_total,ret_10,106090,-0.0036,0.23980660569137122,-0.0171,0.0036
sceneA_T0_entry,bull_pct,ret_10,106090,-0.0025,0.4195637886707577,0.0036,0.0025
sceneA_T0_entry,delta_pct,ret_10,106090,-0.0025,0.4195637886707577,0.0036,0.0025
sceneA_T0_entry,n_high_levels_broken,ret_10,106090,-0.0025,0.4116326568978378,-0.0407,0.0025
sceneA_T0_entry,dist_to_rope_atr,ret_20,90119,0.0019,0.5641983948558554,0.0032,0.0019
sceneA_T0_entry,score_volume_total,hold_ret,106412,-0.0019,0.5365823210858884,-0.1032,0.0019
sceneA_T0_entry,dist_to_rope_atr,ret_5,91285,-0.0015,0.6427289180261055,-0.0009,0.0015
sceneA_T0_entry,bull_pct,ret_5,106440,0.0013,0.6827069393407543,0.0065,0.0013
sceneA_T0_entry,delta_pct,ret_5,106440,0.0013,0.6827069393407543,0.0065,0.0013
sceneA_T0_entry,close_pos,hold_ret,106412,0.0011,0.709756259539715,0.0023,0.0011
sceneA_T0_entry,rope_slope_atr_5,ret_5,91285,0.001,0.7543004269368055,-0.0462,0.001
sceneA_T0_entry,score_freshness_total,ret_5,106440,-0.0006,0.843616810647182,-0.0115,0.0006
sceneA_T0_entry,dist_to_rope_atr,ret_10,90935,-0.0005,0.8857323832976041,-0.0005,0.0005
sceneA_T0_entry,dist_to_rope_atr,hold_ret,91257,-0.0,0.9912721823077966,-0.0007,0.0
sceneA_T0_entry,rope_dir,hold_ret,106412,,,,
sceneA_T0_entry,rope_dir,ret_5,106440,,,,
sceneA_T0_entry,rope_dir,ret_10,106090,,,,
sceneA_T0_entry,rope_dir,ret_20,105274,,,,
