bb_pos_thr,vwap_dev_lo,dsa_pos_hi,rope_dir_min,weekly_dir_required,weekly_pos_hi,event_n,n,ret_5,mae_5,wr_5,rr_5,ret_10,mae_10,wr_10,rr_10,ret_20,mae_20,wr_20,rr_20
0.1,-1.5,none,none,0,0.5,430,430,0.00261,-0.03312,0.4767,0.079,0.00441,-0.04969,0.4884,0.089,0.01172,-0.06778,0.4837,0.173
0.15,-1.5,none,0,0,0.5,462,462,0.00489,-0.03357,0.487,0.146,0.00564,-0.05062,0.4654,0.111,0.01209,-0.0697,0.4957,0.173
0.15,-1.5,none,none,0,0.5,511,511,0.00641,-0.03347,0.4892,0.192,0.00746,-0.05007,0.4873,0.149,0.01193,-0.07035,0.4834,0.17
0.1,none,none,1,0,none,38,38,0.00046,-0.03138,0.4211,0.015,0.00013,-0.04549,0.4211,0.003,0.01085,-0.06434,0.5,0.169
0.2,-1.0,0.45,none,1,0.7,119,119,0.00579,-0.03215,0.4706,0.18,0.00974,-0.04463,0.5714,0.218,0.01126,-0.06786,0.5126,0.166
0.2,none,none,1,1,0.7,23,23,0.00217,-0.04323,0.4348,0.05,-0.00184,-0.06372,0.4348,-0.029,0.01227,-0.07617,0.5217,0.161
0.15,-1.0,none,0,0,0.5,415,415,0.00297,-0.034,0.4843,0.087,0.00458,-0.05067,0.4602,0.09,0.01115,-0.06962,0.5036,0.16
0.15,-0.5,none,none,0,0.5,402,402,0.00618,-0.03265,0.505,0.189,0.00539,-0.04967,0.4701,0.109,0.01127,-0.07104,0.4876,0.159
0.1,-1.5,none,1,0,none,37,37,0.00057,-0.03141,0.4324,0.018,-3e-05,-0.0459,0.4054,-0.001,0.0099,-0.06527,0.4865,0.152
0.15,-0.5,none,0,0,0.5,368,368,0.00312,-0.03436,0.4783,0.091,0.00255,-0.0522,0.4429,0.049,0.01086,-0.0719,0.4918,0.151
0.15,-1.0,0.45,none,1,0.7,93,93,-0.0,-0.03252,0.4731,-0.0,0.00161,-0.04916,0.4839,0.033,0.01017,-0.0676,0.5161,0.15
0.1,-0.5,none,0,0,0.5,282,282,0.00057,-0.03508,0.4894,0.016,0.00125,-0.05225,0.4504,0.024,0.01042,-0.07107,0.4929,0.147
0.1,-1.0,0.45,none,0,0.5,75,75,0.01438,-0.02872,0.5333,0.501,0.00984,-0.0453,0.5333,0.217,0.00929,-0.06525,0.4133,0.142
0.1,-1.5,0.45,none,1,0.5,48,48,0.00281,-0.02989,0.4167,0.094,-0.00278,-0.04611,0.4167,-0.06,0.00896,-0.0633,0.4583,0.142
0.1,-1.0,0.65,none,0,0.5,314,314,0.00162,-0.03428,0.5,0.047,0.00331,-0.05088,0.5064,0.065,0.0097,-0.07022,0.4841,0.138
0.2,-1.0,0.45,none,0,0.5,118,118,0.00763,-0.03055,0.4746,0.25,0.00455,-0.04524,0.5,0.101,0.00887,-0.06478,0.4407,0.137
0.15,-1.0,0.45,0,1,0.5,27,27,-0.00605,-0.03583,0.4074,-0.169,-0.01637,-0.05528,0.4074,-0.296,0.00942,-0.07031,0.5185,0.134
0.15,-1.0,0.45,none,0,0.5,102,102,0.00436,-0.03073,0.5,0.142,0.0024,-0.04599,0.5,0.052,0.00857,-0.06438,0.4608,0.133
0.1,none,0.45,none,1,none,780,780,0.0057,-0.04573,0.4692,0.125,0.00596,-0.06375,0.4462,0.093,0.01166,-0.09011,0.4551,0.129
0.15,-1.0,0.65,none,0,0.5,386,386,0.00294,-0.03423,0.4819,0.086,0.00367,-0.05092,0.4974,0.072,0.00908,-0.07107,0.4767,0.128
0.1,none,0.45,none,0,none,880,880,0.00455,-0.0442,0.4886,0.103,0.0042,-0.06322,0.4682,0.066,0.01079,-0.08742,0.4784,0.123
0.1,-1.0,0.55,none,0,0.5,190,190,0.01135,-0.0307,0.5737,0.37,0.01401,-0.04382,0.5789,0.32,0.00818,-0.06647,0.4579,0.123
0.15,-1.5,0.65,none,0,0.5,450,450,0.0049,-0.03428,0.4733,0.143,0.0047,-0.05139,0.5022,0.091,0.00855,-0.07177,0.4667,0.119
0.2,-1.0,0.45,none,0,0.7,179,179,0.00802,-0.03073,0.4916,0.261,0.009,-0.04488,0.5642,0.2,0.00799,-0.06802,0.4749,0.118
0.15,-1.5,0.55,none,0,0.5,321,321,0.00799,-0.0337,0.5078,0.237,0.00866,-0.04788,0.5234,0.181,0.00788,-0.06801,0.4673,0.116
0.25,-0.5,none,none,0,0.5,563,563,0.00588,-0.03557,0.4902,0.165,0.00471,-0.05408,0.4689,0.087,0.00849,-0.07489,0.4796,0.113
0.25,-0.5,0.45,none,0,none,194,194,0.0159,-0.03003,0.5722,0.529,0.01256,-0.04369,0.5361,0.287,0.0075,-0.06631,0.4691,0.113
0.25,-1.0,none,none,0,0.5,611,611,0.00209,-0.03664,0.4681,0.057,0.00424,-0.05464,0.4746,0.078,0.00813,-0.07396,0.4779,0.11
0.15,-1.0,0.45,none,0,0.7,148,148,0.00322,-0.03083,0.5068,0.105,0.00241,-0.04774,0.5203,0.05,0.00738,-0.06765,0.4865,0.109
0.1,none,0.45,none,1,0.7,711,711,0.00317,-0.0469,0.4529,0.068,0.00305,-0.06562,0.4444,0.047,0.00978,-0.09121,0.4641,0.107
0.2,-1.5,none,none,0,0.5,580,580,0.00309,-0.03666,0.4621,0.084,0.00464,-0.05432,0.4672,0.085,0.00789,-0.07385,0.4672,0.107
0.2,-1.5,0.45,none,1,0.5,81,81,0.00756,-0.03115,0.4691,0.243,0.00358,-0.04378,0.4691,0.082,0.0066,-0.06295,0.4074,0.105
0.25,-0.5,none,1,1,0.7,44,44,-0.00321,-0.04571,0.3636,-0.07,0.01183,-0.06051,0.5,0.196,0.00784,-0.07507,0.4318,0.104
0.1,-1.5,0.65,none,0,0.5,374,374,0.00218,-0.0342,0.4706,0.064,0.00236,-0.05096,0.4947,0.046,0.00733,-0.0704,0.4599,0.104
0.25,-1.0,none,1,1,0.7,44,44,-0.00321,-0.04571,0.3636,-0.07,0.01183,-0.06051,0.5,0.196,0.00784,-0.07507,0.4318,0.104
0.25,-0.5,0.45,0,0,0.5,71,71,0.01195,-0.02935,0.507,0.407,0.01058,-0.04344,0.493,0.243,0.00604,-0.05877,0.4648,0.103
0.2,-0.5,none,none,0,0.5,482,482,0.00472,-0.03569,0.4813,0.132,0.00465,-0.05352,0.4564,0.087,0.0078,-0.0757,0.4751,0.103
0.25,-0.5,none,0,0,0.5,530,530,0.00504,-0.0357,0.4774,0.141,0.00264,-0.0549,0.4585,0.048,0.00768,-0.07539,0.4849,0.102
0.1,-1.5,0.65,0,0,0.5,315,315,0.00056,-0.03568,0.4698,0.016,-0.00088,-0.05455,0.4762,-0.016,0.00741,-0.073,0.473,0.102
0.15,-1.5,0.65,0,0,0.5,382,382,0.00254,-0.03477,0.4607,0.073,0.00085,-0.05298,0.466,0.016,0.00731,-0.07238,0.4712,0.101
0.1,none,0.45,none,0,0.5,665,665,0.00101,-0.04424,0.4827,0.023,0.0017,-0.06167,0.4677,0.027,0.0085,-0.08405,0.4977,0.101
0.25,-0.5,0.45,none,0,0.7,159,159,0.01619,-0.02849,0.5597,0.568,0.01215,-0.04241,0.5409,0.286,0.00659,-0.06492,0.4528,0.101
0.2,-1.0,none,none,0,0.5,536,536,0.00241,-0.03642,0.472,0.066,0.00496,-0.05396,0.4646,0.092,0.00743,-0.07462,0.4701,0.1
0.1,-0.5,none,none,0,0.7,449,449,0.00273,-0.035,0.5078,0.078,0.00183,-0.05192,0.4766,0.035,0.00735,-0.07368,0.49,0.1
0.1,-1.0,none,none,0,0.7,531,531,0.00179,-0.03491,0.5066,0.051,0.00299,-0.05177,0.4934,0.058,0.00708,-0.07252,0.4821,0.098
0.2,none,0.45,none,1,none,789,789,0.00564,-0.04607,0.4816,0.122,0.0049,-0.06431,0.4626,0.076,0.00888,-0.09251,0.4601,0.096
0.1,-0.5,none,0,0,0.7,400,400,0.00142,-0.03599,0.4875,0.04,0.00164,-0.05392,0.465,0.03,0.00732,-0.07597,0.4775,0.096
0.2,none,0.45,none,0,none,883,883,0.00517,-0.04436,0.4824,0.116,0.00602,-0.06304,0.479,0.095,0.00851,-0.08968,0.4745,0.095
0.1,-1.0,none,0,0,0.7,470,470,0.00179,-0.03532,0.5043,0.051,0.00234,-0.05321,0.483,0.044,0.00703,-0.07385,0.483,0.095
0.15,none,0.45,none,0,none,883,883,0.00168,-0.04573,0.4689,0.037,0.00346,-0.06485,0.4621,0.053,0.0084,-0.08967,0.4836,0.094
0.1,-1.5,0.55,none,0,0.5,251,251,0.00747,-0.03236,0.506,0.231,0.00907,-0.04676,0.5418,0.194,0.00635,-0.06746,0.4502,0.094
0.1,-0.5,none,0,0,none,561,561,0.00262,-0.03638,0.4777,0.072,0.00209,-0.05493,0.4528,0.038,0.00744,-0.08022,0.4652,0.093
0.2,none,0.45,none,0,0.5,690,690,0.00239,-0.04236,0.4681,0.056,0.00214,-0.06189,0.4667,0.035,0.00795,-0.08618,0.4884,0.092
0.15,-0.5,0.65,none,0,0.5,320,320,0.00272,-0.03524,0.4844,0.077,0.00058,-0.05283,0.4781,0.011,0.00687,-0.07435,0.4656,0.092
0.25,-1.0,0.45,none,0,0.7,220,220,0.01079,-0.03123,0.5273,0.346,0.01042,-0.04432,0.5409,0.235,0.00599,-0.06649,0.4545,0.09
0.1,none,0.55,none,1,none,873,873,0.00576,-0.04625,0.4742,0.125,0.00579,-0.06448,0.4605,0.09,0.00824,-0.09142,0.4593,0.09
0.1,none,0.45,none,0,0.7,842,842,0.00226,-0.04529,0.4727,0.05,0.00125,-0.06437,0.4679,0.019,0.00781,-0.08845,0.4774,0.088
0.2,none,0.45,none,1,0.5,469,469,0.00316,-0.04473,0.4627,0.071,0.00013,-0.064,0.452,0.002,0.00795,-0.09059,0.4691,0.088
0.1,-1.0,0.45,none,0,0.7,114,114,0.01164,-0.02823,0.5526,0.412,0.00674,-0.04546,0.5351,0.148,0.00596,-0.06766,0.4561,0.088
0.2,-1.5,0.45,none,0,0.5,171,171,0.0094,-0.03109,0.4737,0.302,0.00471,-0.04557,0.4854,0.103,0.00569,-0.06481,0.4269,0.088
0.25,-1.0,0.55,none,0,0.5,333,333,0.00394,-0.03607,0.4985,0.109,0.00628,-0.0511,0.4955,0.123,0.00617,-0.07143,0.4595,0.086
0.25,-1.5,0.45,none,0,0.5,211,211,0.00664,-0.03308,0.5166,0.201,0.00987,-0.04547,0.5261,0.217,0.00543,-0.06384,0.4455,0.085
0.1,-1.5,none,0,1,0.5,132,132,-0.00526,-0.03719,0.4091,-0.142,0.00326,-0.05199,0.447,0.063,0.0057,-0.06813,0.5,0.084
0.25,-1.0,none,0,0,0.5,564,564,0.00129,-0.03705,0.4592,0.035,0.00153,-0.05572,0.4592,0.027,0.00629,-0.07512,0.4805,0.084
0.25,-1.0,0.65,none,0,0.5,523,523,6e-05,-0.03773,0.4646,0.002,0.00393,-0.05496,0.4952,0.071,0.00625,-0.07419,0.4646,0.084
0.1,-0.5,none,none,0,none,622,622,0.00303,-0.03708,0.5016,0.082,0.00145,-0.05491,0.4614,0.026,0.00664,-0.07883,0.4791,0.084
0.2,none,0.45,none,1,0.7,717,717,0.00223,-0.04652,0.4505,0.048,0.00142,-0.06648,0.4547,0.021,0.00776,-0.09376,0.4672,0.083
0.1,none,0.65,none,1,none,909,909,0.00599,-0.04567,0.4807,0.131,0.00629,-0.06389,0.473,0.098,0.00752,-0.09052,0.4554,0.083
0.15,-1.0,0.65,0,0,0.5,328,328,-0.00017,-0.03574,0.4573,-0.005,-0.00126,-0.0536,0.4604,-0.024,0.00595,-0.07268,0.4756,0.082
0.15,-1.5,none,none,0,0.7,705,705,0.00374,-0.03618,0.4936,0.103,0.00322,-0.054,0.4723,0.06,0.00623,-0.07636,0.4766,0.082
0.2,-1.0,0.65,none,0,0.5,454,454,0.00117,-0.03648,0.4714,0.032,0.00362,-0.05393,0.4846,0.067,0.00597,-0.07401,0.4581,0.081
0.1,none,none,none,1,0.7,817,817,0.00391,-0.04622,0.4737,0.085,0.00481,-0.06507,0.4688,0.074,0.00725,-0.08933,0.4749,0.081
0.25,-0.5,0.45,0,0,0.7,112,112,0.01492,-0.02683,0.5089,0.556,0.01175,-0.04308,0.5179,0.273,0.00517,-0.06392,0.4464,0.081
0.1,-1.0,0.65,0,0,0.5,264,264,-0.0006,-0.03634,0.4886,-0.016,-0.001,-0.05485,0.4735,-0.018,0.00574,-0.07332,0.4811,0.078
0.1,none,0.45,none,1,0.5,427,427,0.00048,-0.04651,0.4778,0.01,0.00071,-0.06309,0.4309,0.011,0.00687,-0.08763,0.4707,0.078
0.25,none,0.45,none,0,none,873,873,0.00423,-0.04538,0.48,0.093,0.00578,-0.06319,0.4788,0.092,0.00682,-0.08899,0.4674,0.077
0.25,-1.5,none,none,0,0.5,654,654,0.00263,-0.03647,0.4709,0.072,0.00369,-0.05534,0.4725,0.067,0.00572,-0.07484,0.4648,0.076
0.1,-0.5,0.65,none,0,0.5,245,245,0.00128,-0.03629,0.5102,0.035,-0.00092,-0.05361,0.4612,-0.017,0.00564,-0.07415,0.4612,0.076
0.15,-1.0,none,none,0,0.7,631,631,0.00296,-0.0357,0.4976,0.083,0.00321,-0.05301,0.4707,0.061,0.00571,-0.07531,0.4849,0.076
0.2,-0.5,0.65,none,0,0.5,387,387,0.00176,-0.03703,0.4729,0.048,0.00244,-0.05502,0.4755,0.044,0.00567,-0.0759,0.4625,0.075
0.2,-0.5,0.45,none,1,0.5,34,34,-3e-05,-0.0344,0.4412,-0.001,-0.00835,-0.05055,0.4412,-0.165,0.00545,-0.0723,0.3824,0.075
0.15,-0.5,0.65,0,0,0.5,274,274,-0.00074,-0.03711,0.4453,-0.02,-0.00375,-0.05611,0.438,-0.067,0.00566,-0.07577,0.4599,0.075
0.25,-0.5,0.45,0,0,none,141,141,0.01238,-0.02923,0.5035,0.424,0.01046,-0.04489,0.4965,0.233,0.00491,-0.06651,0.4681,0.074
0.2,-1.5,none,0,0,0.5,534,534,0.00189,-0.03708,0.4551,0.051,0.00268,-0.05528,0.4476,0.049,0.00555,-0.07535,0.4644,0.074
0.2,-1.5,0.45,none,0,0.7,260,260,0.00816,-0.03232,0.4808,0.253,0.00942,-0.04609,0.5192,0.204,0.00502,-0.06814,0.45,0.074
0.2,-1.0,0.45,none,1,none,159,159,0.00505,-0.03265,0.4654,0.155,0.00721,-0.04575,0.522,0.158,0.00518,-0.07135,0.4906,0.073
0.15,-0.5,none,none,0,0.7,562,562,0.00464,-0.03488,0.5036,0.133,0.00347,-0.05258,0.4733,0.066,0.00549,-0.07568,0.4769,0.073
0.1,-1.0,none,none,0,none,693,693,0.00171,-0.03738,0.5007,0.046,0.00192,-0.05517,0.4704,0.035,0.00562,-0.07831,0.4747,0.072
0.15,none,0.45,none,1,none,791,791,0.00248,-0.04732,0.4678,0.052,0.00394,-0.06632,0.4488,0.059,0.00681,-0.0941,0.4652,0.072
0.15,-1.0,0.55,none,0,0.5,246,246,0.00503,-0.03422,0.5244,0.147,0.0067,-0.04757,0.5081,0.141,0.00496,-0.06972,0.4553,0.071
0.1,-1.0,none,0,0,none,632,632,0.00232,-0.03651,0.4873,0.063,0.00203,-0.05527,0.4699,0.037,0.00563,-0.07981,0.4668,0.071
0.2,none,0.45,none,0,0.7,843,843,0.00237,-0.04404,0.4543,0.054,0.00162,-0.06413,0.465,0.025,0.00629,-0.0902,0.4781,0.07
0.1,none,0.65,none,0,none,972,972,0.00492,-0.043,0.4856,0.115,0.00473,-0.0623,0.4825,0.076,0.006,-0.08734,0.4671,0.069
0.2,-1.5,0.55,none,0,0.5,358,358,0.00553,-0.0351,0.4721,0.157,0.00382,-0.05126,0.4944,0.074,0.00504,-0.07253,0.4525,0.069
0.1,-1.5,none,0,0,none,700,700,0.00178,-0.03705,0.4743,0.048,0.00202,-0.0554,0.4743,0.036,0.00543,-0.07845,0.4629,0.069
0.2,-0.5,none,0,0,0.5,449,449,0.00302,-0.03648,0.4633,0.083,0.00125,-0.05503,0.4365,0.023,0.00527,-0.07691,0.4744,0.069
0.2,none,0.55,none,0,0.5,777,777,0.00313,-0.04256,0.4672,0.074,0.00147,-0.06212,0.4762,0.024,0.00598,-0.08681,0.4736,0.069
0.2,-1.5,0.45,none,0,none,306,306,0.00773,-0.03266,0.4804,0.237,0.00866,-0.04633,0.5033,0.187,0.00479,-0.06954,0.4575,0.069
0.1,-1.5,none,none,0,0.7,592,592,0.00098,-0.03604,0.4831,0.027,0.00089,-0.05306,0.4797,0.017,0.00502,-0.07404,0.4662,0.068
0.1,-1.5,none,0,0,0.7,531,531,0.00093,-0.03625,0.4896,0.026,0.00026,-0.05425,0.4765,0.005,0.00502,-0.07488,0.4689,0.067
0.1,none,0.55,none,0,none,953,953,0.00457,-0.04426,0.489,0.103,0.0037,-0.0634,0.4732,0.058,0.00587,-0.08816,0.4774,0.067
0.2,-1.5,none,1,1,none,59,59,0.00683,-0.04009,0.4576,0.17,0.00673,-0.0614,0.4237,0.11,0.00591,-0.08837,0.5085,0.067
0.25,-0.5,0.55,none,0,0.5,257,257,0.00721,-0.03549,0.5175,0.203,0.00661,-0.05093,0.4825,0.13,0.00483,-0.07309,0.4397,0.066
0.15,-1.0,0.65,none,1,0.5,148,148,0.00107,-0.03609,0.4189,0.03,0.00349,-0.05096,0.4595,0.068,0.00475,-0.0724,0.4595,0.066
0.1,none,none,none,1,none,925,925,0.00324,-0.04691,0.4649,0.069,0.00381,-0.06561,0.4616,0.058,0.00602,-0.09203,0.4486,0.065
0.2,-0.5,0.45,0,1,0.7,56,56,0.00205,-0.03305,0.4286,0.062,0.00411,-0.05068,0.5179,0.081,0.00472,-0.07312,0.4821,0.065
0.15,-1.0,none,0,0,0.7,572,572,0.00176,-0.03618,0.4843,0.049,0.00184,-0.05379,0.458,0.034,0.00494,-0.07578,0.4825,0.065
0.2,-1.0,none,0,0,0.5,495,495,0.001,-0.03732,0.4586,0.027,0.00194,-0.0554,0.4465,0.035,0.00492,-0.07612,0.4707,0.065
0.1,none,0.65,none,1,0.7,816,816,0.00454,-0.04598,0.4743,0.099,0.00472,-0.06474,0.4669,0.073,0.00579,-0.08982,0.4669,0.064
0.2,-1.0,0.55,none,0,0.5,284,284,0.00379,-0.03527,0.4789,0.108,0.00345,-0.05136,0.4789,0.067,0.00458,-0.07314,0.4577,0.063
0.2,-1.5,0.65,none,0,0.5,511,511,0.00139,-0.03765,0.4638,0.037,0.00161,-0.05518,0.4814,0.029,0.00478,-0.07552,0.4521,0.063
0.2,-0.5,none,1,1,none,57,57,0.00651,-0.04117,0.4561,0.158,0.00719,-0.06269,0.4386,0.115,0.0057,-0.0906,0.5088,0.063
0.25,-0.5,0.65,none,0,0.5,461,461,0.00213,-0.03765,0.4772,0.057,0.0033,-0.05583,0.4837,0.059,0.00474,-0.07635,0.4599,0.062
0.1,-0.5,0.65,0,0,none,425,425,0.0021,-0.03707,0.4824,0.057,0.00059,-0.05553,0.4612,0.011,0.00498,-0.08127,0.4541,0.061
0.1,-1.5,none,none,0,none,762,762,0.00137,-0.03852,0.4816,0.035,0.00177,-0.05581,0.4764,0.032,0.00475,-0.07842,0.4672,0.061
0.1,none,none,none,0,0.5,788,788,0.00173,-0.04306,0.4784,0.04,0.00128,-0.06145,0.467,0.021,0.00514,-0.08373,0.481,0.061
0.2,-1.0,none,1,1,none,58,58,0.00698,-0.04058,0.4655,0.172,0.00694,-0.06217,0.431,0.112,0.00548,-0.0896,0.5,0.061
0.1,-1.0,none,none,1,0.5,126,126,-0.00257,-0.0364,0.4286,-0.071,0.00515,-0.05014,0.4683,0.103,0.00427,-0.07103,0.4921,0.06
0.15,-1.0,none,none,1,0.5,165,165,0.00204,-0.03511,0.4424,0.058,0.00437,-0.05098,0.4485,0.086,0.00435,-0.07271,0.4545,0.06
0.1,none,0.55,none,1,0.7,796,796,0.00375,-0.04614,0.4611,0.081,0.00311,-0.0652,0.456,0.048,0.00537,-0.0906,0.4585,0.059
0.15,-0.5,none,0,0,0.7,514,514,0.00279,-0.03563,0.4805,0.078,0.00173,-0.05407,0.4553,0.032,0.00458,-0.07725,0.4689,0.059
0.25,-1.0,0.45,none,0,none,262,262,0.01001,-0.03215,0.5344,0.312,0.01027,-0.046,0.5344,0.223,0.00401,-0.06874,0.4504,0.058
0.25,-1.0,0.45,none,1,0.7,141,141,0.01102,-0.03138,0.4894,0.351,0.00751,-0.04455,0.5035,0.169,0.00401,-0.07005,0.4468,0.057
0.1,none,0.65,none,0,0.5,778,778,0.00343,-0.04282,0.491,0.08,0.00328,-0.06069,0.4807,0.054,0.00473,-0.08334,0.4781,0.057
0.1,-1.5,none,none,1,0.5,159,159,-0.0034,-0.03607,0.4088,-0.094,0.00432,-0.04964,0.4591,0.087,0.00382,-0.06871,0.478,0.056
0.15,-1.5,none,none,0,none,851,851,0.00219,-0.03847,0.4865,0.057,0.00184,-0.05685,0.4618,0.032,0.00452,-0.08097,0.463,0.056
0.25,none,0.55,none,0,0.5,768,768,0.00183,-0.04439,0.4492,0.041,0.00187,-0.06191,0.4609,0.03,0.0048,-0.08591,0.4792,0.056
0.25,none,0.45,none,0,0.5,667,667,0.00029,-0.04373,0.4468,0.007,0.00322,-0.0616,0.4708,0.052,0.00486,-0.08652,0.4753,0.056
0.2,-1.0,none,none,0,0.7,719,719,0.00112,-0.03835,0.4701,0.029,0.00465,-0.05587,0.4715,0.083,0.0044,-0.07856,0.4715,0.056
0.1,-1.0,0.65,none,0,0.7,454,454,0.00215,-0.03519,0.5066,0.061,0.00136,-0.05335,0.5,0.026,0.0043,-0.07613,0.4714,0.056
0.2,-1.0,0.45,none,0,none,219,219,0.00722,-0.03168,0.4886,0.228,0.00762,-0.04583,0.5342,0.166,0.00391,-0.07067,0.4658,0.055
0.1,none,0.55,none,0,0.5,743,743,0.00353,-0.04325,0.4939,0.082,0.00235,-0.061,0.4859,0.038,0.00466,-0.08431,0.4832,0.055
0.2,none,0.55,none,0,0.7,933,933,0.00189,-0.0448,0.4544,0.042,0.00251,-0.0651,0.4748,0.038,0.00492,-0.09071,0.463,0.054
0.15,-0.5,0.45,0,1,0.7,46,46,-0.00405,-0.0347,0.4348,-0.117,-0.00841,-0.05358,0.5,-0.157,0.0041,-0.07607,0.5,0.054
0.2,none,none,1,1,none,60,60,0.00714,-0.0395,0.4667,0.181,0.00609,-0.06104,0.4167,0.1,0.00476,-0.08809,0.5,0.054
0.2,-0.5,0.55,none,0,0.5,206,206,0.00515,-0.03688,0.4806,0.14,0.0033,-0.05179,0.4757,0.064,0.00409,-0.07613,0.432,0.054
0.2,-1.5,0.45,none,1,none,228,228,0.006,-0.03269,0.4737,0.184,0.00977,-0.04446,0.5,0.22,0.0037,-0.06907,0.4605,0.054
0.15,-1.0,0.55,none,1,0.5,103,103,0.00166,-0.03623,0.4563,0.046,0.00216,-0.0503,0.4466,0.043,0.00387,-0.07185,0.466,0.054
0.15,none,0.45,none,0,0.5,679,679,-0.00044,-0.04462,0.4595,-0.01,0.0001,-0.06388,0.458,0.001,0.00467,-0.08801,0.489,0.053
0.25,none,0.55,none,0,none,958,958,0.00136,-0.04704,0.4635,0.029,0.00202,-0.06559,0.4562,0.031,0.0047,-0.09103,0.4593,0.052
0.1,none,none,none,0,0.7,941,941,0.00226,-0.04363,0.4718,0.052,0.00194,-0.06351,0.4772,0.031,0.00438,-0.08665,0.474,0.051
0.15,-1.0,0.45,none,1,none,130,130,0.00135,-0.03259,0.4846,0.041,0.00331,-0.04722,0.4846,0.07,0.00358,-0.07081,0.4846,0.051
0.25,none,0.45,none,1,0.5,445,445,-0.0,-0.04515,0.427,-0.0,0.00255,-0.06222,0.4427,0.041,0.00458,-0.09,0.4607,0.051
0.15,none,0.45,none,0,0.7,841,841,-0.00228,-0.04704,0.4388,-0.049,-0.00147,-0.06723,0.4483,-0.022,0.00472,-0.09198,0.4804,0.051
0.2,-1.0,0.45,0,1,0.7,77,77,0.00531,-0.03206,0.4675,0.166,0.00844,-0.04723,0.5584,0.179,0.00358,-0.07132,0.4935,0.05
0.15,-1.5,0.65,none,0,none,771,771,0.00357,-0.03675,0.4903,0.097,0.0016,-0.05566,0.476,0.029,0.00403,-0.0805,0.4591,0.05
