symbol,datetime,open,high,low,close,dsa_trade_pos_01,dsa_trade_dist_to_low_01,dsa_trade_dist_to_high_01,dsa_trade_range_width_pct,bb_pos_01,bb_width_norm,bb_width_percentile,bb_width_change_5,bb_expanding,bb_contracting,bb_expand_streak,bb_contract_streak,rope_dir,dist_to_rope_atr,rope_slope_atr_5,bars_since_dir_change,is_consolidating,range_break_up,range_break_up_strength,range_width_atr,channel_pos_01,range_pos_01,rope_pivot_pos_01,dsa_trade_breakout_20,dsa_trade_breakdown_20,w_dsa_trade_pos_01,w_dsa_trade_dist_to_low_01,w_dsa_trade_dist_to_high_01,w_dsa_trade_range_width_pct,w_factor_available,w_sample_count,ret_1,ret_3,ret_5,vol_ratio_20,vol_z_20,trend_gap_10_20,position_in_structure,dir_consistent,score_trend_total,score_volume_total,score_width_total,score_rope_total,score_setup_total,dsa_confirmed_pivot_pos_01,dsa_signed_vwap_dev_pct,dsa_trend_aligned_vwap_dev_pct,lh_hh_low_pos,dsa_bull_vwap_dev_pct,dsa_bear_vwap_dev_pct,prev_confirmed_up_bars,prev_confirmed_down_bars,last_confirmed_run_bars,current_run_bars,w_DSA_DIR,w_dsa_confirmed_pivot_pos_01,w_dsa_signed_vwap_dev_pct,w_prev_confirmed_up_bars,w_prev_confirmed_down_bars,ret_10,ret_20,ret_40,ret_60,max_dd_5,max_dd_10,max_dd_20,max_dd_40,max_dd_60,win_5,win_10,win_20,win_40,win_60,rr_20,good20,good20_hard,year,year_month
603058.SH,2024-02-22 07:00:00,6.8,6.97,6.7,6.95,0.36496350364963503,0.36496350364963503,0.635036496350365,0.5913669064748202,0.3777441562610774,0.5309978621299218,0.9666666666666667,0.03601085920766889,1.0,0.0,20.0,0.0,1.0,0.9999999999999994,0.093174675947817,0.0,0.0,1.0,0.0669074855844332,2.0525343807267666,1.0,1.0,0.9696969696969704,0.0,0.0,,,,,0.0,,0.02356406480117812,0.07585139318885448,0.002877697841726557,0.6099540908429917,-0.8683932147609222,-0.12812949640287774,0.7424809259215366,5.0,0.46081076228918105,0.0690764733985169,0.19674609746104924,0.48623110539557274,0.41173058543713054,0.331858407079646,-20.106443518176984,20.106443518176984,0.331858407079646,0.0,-20.106443518176984,46.0,96.0,46.0,17.0,,,,,,0.0,0.09496402877697843,0.1381294964028777,0.21007194244604316,-0.04604316546762594,-0.04604316546762594,-0.04604316546762594,-0.04604316546762594,-0.04604316546762594,1.0,0.0,1.0,1.0,1.0,2.0624999999999982,1,1,2024,2024-02
603090.SH,2024-02-22 07:00:00,17.15,18.55,17.0,18.49,0.41948310139165,0.41948310139165,0.58051689860835,0.8161168199026502,0.5932182735728015,0.49814212569939587,0.9583333333333334,-0.08732233749557583,0.0,1.0,0.0,1.0,1.0,1.0000000000000009,0.6498981182742912,0.0,0.0,1.0,0.688615745389228,1.9225647457701274,1.0,1.0,0.9839142091152809,0.0,0.0,,,,,0.0,,0.09667852906287067,0.22126816380449132,0.08166576527852902,2.077395468327844,2.813119175922955,-0.09396971335857225,0.7993231168159465,5.0,0.5001061347917253,0.7631419204537462,0.1759429459490403,0.5583164262032629,0.5330307184303047,0.41948310139165,-24.651331216733606,24.651331216733606,0.41948310139165,0.0,-24.651331216733606,43.0,26.0,43.0,18.0,,,,,,0.14223904813412672,0.1535965386695511,-0.009734991887506745,0.1606273661438617,-0.04164413196322334,-0.04164413196322334,-0.04164413196322334,-0.04164413196322334,-0.04164413196322334,1.0,1.0,1.0,0.0,1.0,3.6883116883116904,1,1,2024,2024-02
603637.SH,2024-02-22 07:00:00,6.3,6.65,6.27,6.62,0.36073059360730597,0.36073059360730597,0.639269406392694,0.661631419939577,0.3873892831380074,0.6351860084579335,0.9666666666666667,0.05530015769785335,1.0,0.0,20.0,0.0,1.0,1.0000000000000002,0.17886996677379607,0.0,0.0,1.0,0.16972253122420589,2.0182948710991826,1.0,1.0,0.9673913043478258,0.0,0.0,,,,,0.0,,0.04581358609794628,0.08169934640522869,0.027190332326283945,0.7965702146423956,-0.4590200353554168,-0.15468277945619335,0.7431022362186279,5.0,0.4838797795427953,0.18455556730192643,0.16675239628516206,0.5169674599644707,0.4348421611459545,0.36073059360730597,-16.168066957208755,16.168066957208755,0.36073059360730597,0.0,-16.168066957208755,47.0,16.0,47.0,20.0,,,,,,-0.024169184290030232,0.12688821752265858,0.003021148036253712,0.03474320241691836,-0.06797583081571,-0.06797583081571,-0.06797583081571,-0.06797583081571,-0.06797583081571,1.0,0.0,1.0,1.0,1.0,1.8666666666666654,1,1,2024,2024-02
603709.SH,2024-02-22 07:00:00,12.71,12.77,12.18,12.77,0.28594122319301024,0.28594122319301024,0.7140587768069897,0.985904463586531,0.3860683144141627,0.727440156514168,0.9666666666666667,0.07010444384091286,1.0,0.0,18.0,0.0,1.0,1.0000000000000007,0.031668066940353144,0.0,0.0,1.0,0.000619018940057986,2.0620980960005912,1.0,1.0,1.0,0.0,0.0,,,,,0.0,,0.00472069236821393,0.1143106457242582,-0.02192638997650739,1.083250332018783,0.221521412499774,-0.17611589663273303,0.7344019075214346,5.0,0.47367716385976666,0.2407361685346181,0.21830051680977047,0.4831483308317556,0.44691004541907936,0.0,-34.2844780662663,34.2844780662663,0.28594122319301024,0.0,-34.2844780662663,93.0,36.0,93.0,18.0,,,,,,-0.027407987470634273,0.13782302270947533,-0.0775254502740799,0.09162098668754894,-0.09240407204385276,-0.09240407204385276,-0.09240407204385276,-0.11824588880187939,-0.11824588880187939,0.0,0.0,1.0,0.0,1.0,1.4915254237288138,1,0,2024,2024-02
688167.SH,2024-02-22 07:00:00,78.58,85.0,78.53,83.7,0.3701930748364449,0.3701930748364449,0.6298069251635551,0.7487455197132616,0.5595563484375538,0.40587911029049023,0.8166666666666667,-0.18702099407798645,0.0,1.0,0.0,2.0,1.0,1.0000000000000007,0.1897961604540641,0.0,0.0,1.0,0.18702311928242404,2.005546082343282,1.0,1.0,0.9123989218328843,0.0,0.0,,,,,0.0,,0.057619408642911374,0.07307692307692304,0.078853046594982,1.1782910373938875,0.4902320248445222,-0.0787156511350061,0.7684296690213765,5.0,0.5230168281758198,0.3578302593863543,0.21983625555952963,0.5076691647866794,0.47332047314783443,0.17042693509198206,-17.602674964883487,17.602674964883487,0.32676056338028175,0.0,-17.602674964883487,49.0,70.0,49.0,20.0,,,,,,0.06917562724014327,0.14934289127837513,-0.1756272401433692,-0.23679808841099162,-0.019474313022700234,-0.019474313022700234,-0.019474313022700234,-0.21135005973715648,-0.24707287933094382,1.0,1.0,1.0,0.0,0.0,7.668711656441672,1,1,2024,2024-02
688228.SH,2024-02-22 07:00:00,46.0,49.42,46.0,48.8,0.44954128440366975,0.44954128440366975,0.5504587155963303,0.8934426229508196,0.5894298309152731,0.7072620033430582,0.95,-0.10556825143077886,0.0,1.0,0.0,1.0,1.0,1.0000000000000002,0.4884137824138108,0.0,0.0,1.0,0.49907794446702713,1.9786716758935683,1.0,1.0,0.9649122807017542,0.0,0.0,,,,,0.0,,0.09810981098109806,0.12702078521939963,0.23913934426229513,1.341256586220718,1.0526784024002043,-0.12504098360655747,0.8007766792041394,5.0,0.5736894980550586,0.5005904075104529,0.2773110018734423,0.5322035917866285,0.5138363033369072,0.3603411513859274,-15.334897833002097,15.334897833002097,0.44954128440366975,0.0,-15.334897833002097,52.0,72.0,52.0,13.0,,,,,,0.12500000000000003,0.19877049180327877,-0.15635245901639336,-0.012295081967212998,-0.024385245901639298,-0.024385245901639298,-0.024385245901639298,-0.2520491803278688,-0.2520491803278688,1.0,1.0,1.0,0.0,0.0,8.1512605042017,1,1,2024,2024-02
002105.SZ,2024-02-23 07:00:00,4.27,4.53,4.26,4.51,0.3191011235955056,0.3191011235955056,0.6808988764044944,0.9866962305986697,0.44021845790327513,0.7560784258549843,0.9583333333333334,-0.05855426968662536,0.0,1.0,0.0,1.0,1.0,0.9999999999999996,0.3709167109142462,0.0,0.0,1.0,0.3322268245648636,2.077379772698766,1.0,1.0,0.9759036144578308,0.0,0.0,,,,,0.0,,0.05373831775700921,0.14467005076142136,0.07095343680709541,0.8221804827936718,-0.47005861901294155,-0.17594235033259423,0.7470446391913222,5.0,0.5027194390186513,0.267027998810298,0.21899468384097875,0.5729084667404877,0.4691009915365156,0.3191011235955056,-33.75147019396369,33.75147019396369,0.3191011235955056,0.0,-33.75147019396369,49.0,15.0,49.0,19.0,,,,,,0.022172949002217415,0.11973392461197341,-0.03325942350332583,0.05099778270509987,-0.0953436807095343,-0.0953436807095343,-0.0953436807095343,-0.11973392461197331,-0.11973392461197331,1.0,1.0,1.0,0.0,1.0,1.255813953488373,1,0,2024,2024-02
002520.SZ,2024-02-23 07:00:00,4.36,4.77,4.35,4.77,0.4075144508670519,0.4075144508670519,0.5924855491329482,0.7253668763102726,0.5664181264711121,0.5496371089331957,0.9333333333333333,-0.19683942847435476,0.0,1.0,0.0,2.0,1.0,1.0000000000000004,0.385248975828719,0.0,0.0,1.0,0.3732008203258994,2.02409631100564,1.0,1.0,1.0,0.0,0.0,,,,,0.0,,0.09907834101382473,0.1330166270783848,0.09643605870020983,1.687319101167193,2.2977492033266924,-0.109433962264151,0.7947865154676328,5.0,0.537181346173023,0.6451628303780929,0.27483197236822066,0.554447795846479,0.5361395715496972,0.379032258064516,-22.758401580813608,22.758401580813608,0.379032258064516,0.0,-22.758401580813608,87.0,14.0,87.0,19.0,,,,,,0.12368972746331254,0.23689727463312388,0.02515723270440254,0.014675052410901529,0.0,0.0,0.0,-0.014675052410901342,-0.014675052410901342,1.0,1.0,1.0,1.0,1.0,,0,1,2024,2024-02
002628.SZ,2024-02-23 07:00:00,2.56,2.66,2.56,2.65,0.38759689922480617,0.38759689922480617,0.6124031007751938,0.4867924528301887,0.4037679804715655,0.49839128559467216,0.9583333333333334,-0.027081241071741924,0.0,1.0,0.0,1.0,1.0,0.9999999999999992,0.05668242537650989,0.0,0.0,0.0,,2.125956865613181,1.0,0.9970385065040981,0.9615384615384607,0.0,0.0,,,,,0.0,,0.03515625,0.06854838709677424,-0.015094339622641523,0.9096532434478398,-0.2700043714174592,-0.11830188679245296,0.749988369547786,4.0,0.552389101215529,0.2560034006813504,0.3082388464717097,0.4895153848491049,0.434359727278318,0.0,-8.862849793708504,8.862849793708504,0.38759689922480617,0.0,-8.862849793708504,11.0,74.0,11.0,19.0,,,,,,-0.03773584905660381,0.015094339622641523,-0.12452830188679248,-0.1018867924528302,-0.06415094339622639,-0.0679245283018867,-0.0679245283018867,-0.16226415094339613,-0.16226415094339613,0.0,0.0,1.0,0.0,0.0,0.22222222222222274,0,0,2024,2024-02
002933.SZ,2024-02-23 07:00:00,25.25,27.26,25.01,27.15,0.3307392996108948,0.3307392996108948,0.6692607003891051,0.8519337016574587,0.6000456826022961,0.47149363863357374,0.9416666666666667,-0.160841118162234,0.0,1.0,0.0,2.0,1.0,1.0,0.38378838594158227,0.0,0.0,1.0,0.370474755452594,2.026627260977975,1.0,1.0,0.9757174392935976,0.0,0.0,,,,,0.0,,0.07524752475247509,0.1298377028714106,0.02209944751381221,1.183195448973869,0.640532742443642,-0.09127071823204413,0.7813004843013577,5.0,0.5166483006765292,0.5629733271482033,0.19920370384904248,0.5815920272927854,0.5131861457775339,0.3307392996108948,-23.999654199516932,23.999654199516932,0.3307392996108948,0.0,-23.999654199516932,90.0,9.0,90.0,19.0,,,,,,0.048250460405156625,0.13149171270718235,0.006998158379373897,-0.041252302025782596,-0.044567219152854415,-0.044567219152854415,-0.044567219152854415,-0.10865561694290975,-0.10865561694290975,1.0,1.0,1.0,1.0,0.0,2.950413223140503,1,1,2024,2024-02
300461.SZ,2024-02-23 07:00:00,16.09,17.38,15.89,17.22,0.39348943460879493,0.39348943460879493,0.6065105653912052,1.0168408826945412,0.48499125236275703,0.866883308481203,0.9583333333333334,-0.03231620305577665,0.0,1.0,0.0,1.0,1.0,1.0,0.26430098947429825,0.0,0.0,1.0,0.24135245534427377,2.0458970682600497,1.0,1.0,0.9577836411609498,0.0,0.0,,,,,0.0,,0.08370044052863435,0.18513420509291123,-0.001161440185830405,1.2378705863146033,0.6261772459708852,-0.18385598141695697,0.7672528656265004,5.0,0.4867650753267636,0.3635342774727004,0.17697038169442522,0.5110704503045927,0.46184788652866365,0.39348943460879493,-25.96138953677776,25.96138953677776,0.39348943460879493,0.0,-25.96138953677776,84.0,41.0,84.0,14.0,,,,,,-0.008130081300813042,0.03310104529616727,-0.17479674796747957,-0.17247386759581876,-0.0987224157955865,-0.0987224157955865,-0.0987224157955865,-0.22241579558652722,-0.22241579558652722,0.0,0.0,1.0,0.0,0.0,0.33529411764705913,0,0,2024,2024-02
301002.SZ,2024-02-23 07:00:00,13.4,14.0,13.4,13.92,0.3309734513274336,0.3309734513274336,0.6690265486725664,0.8117816091954023,0.4024417114892254,0.736751856391482,0.95,-0.06503713703303671,0.0,1.0,0.0,1.0,1.0,1.0000000000000002,0.09354774721102552,0.0,0.0,1.0,0.026702089648566112,2.1336913151249193,1.0,1.0,0.96,0.0,0.0,,,,,0.0,,0.03340757238307335,0.10213776722090251,0.030172413793103443,1.2433144058088397,0.9064347844883881,-0.17765804597701154,0.7386830325633318,5.0,0.4733444080134781,0.39797170092855866,0.1587321122200274,0.5040588618406455,0.46590400840656304,0.3309734513274336,-22.812862721179524,22.812862721179524,0.3309734513274336,0.0,-22.812862721179524,55.0,53.0,55.0,19.0,,,,,,0.009339080459770171,0.08405172413793104,-0.0258620689655172,0.08405172413793104,-0.07974137931034479,-0.07974137931034479,-0.07974137931034479,-0.12212643678160914,-0.12212643678160914,1.0,1.0,1.0,0.0,1.0,1.0540540540540546,1,1,2024,2024-02
301012.SZ,2024-02-23 07:00:00,14.8,17.34,14.68,16.15,0.3892176199868506,0.3892176199868506,0.6107823800131494,0.9417956656346751,0.542341464839413,0.764679846755923,0.9416666666666667,-0.19855404856484393,0.0,1.0,0.0,2.0,1.0,0.9999999999999998,0.5433256995172394,0.0,0.0,1.0,0.5769695096622066,1.9327123797100652,1.0,1.0,0.7355555555555553,0.0,0.0,,,,,0.0,,0.10013623978201625,0.14134275618374548,-0.016718266253869834,1.1248445277200583,0.2884328975806324,-0.1492569659442724,0.7334229280763637,5.0,0.545599689846657,0.3830823665996064,0.23997680842403618,0.5837049787334162,0.5031568192545587,0.3892176199868506,-27.322988608776804,27.322988608776804,0.3892176199868506,0.0,-27.322988608776804,4.0,191.0,4.0,19.0,,,,,,0.058823529411764885,0.1269349845201239,0.1826625386996906,0.8662538699690404,-0.11331269349845191,-0.11331269349845191,-0.11331269349845191,-0.11331269349845191,-0.11331269349845191,0.0,1.0,1.0,1.0,1.0,1.1202185792349741,1,0,2024,2024-02
600106.SH,2024-02-23 07:00:00,5.14,5.43,5.13,5.42,0.3922651933701657,0.3922651933701657,0.6077348066298343,0.6678966789667897,0.647490363377203,0.3292331397588019,0.9333333333333333,-0.21380254556471712,0.0,1.0,0.0,3.0,1.0,0.9999999999999996,0.3947333103154694,0.0,0.0,1.0,0.34404326716338907,2.101380086304158,1.0,1.0,0.9921875000000001,0.0,0.0,,,,,0.0,,0.05653021442495132,0.08400000000000007,0.05904059040590411,1.1971639873408935,0.5737067780480618,-0.05793357933579337,0.8063886113494737,5.0,0.5624618356826597,0.4598202923045709,0.19481943373944116,0.5561214118177359,0.4944723936991557,0.3890410958904109,-15.6117341001911,15.6117341001911,0.3890410958904109,0.0,-15.6117341001911,121.0,71.0,121.0,19.0,,,,,,0.1512915129151292,0.16974169741697415,0.05719557195571965,0.12361623616236161,-0.023985239852398504,-0.023985239852398504,-0.023985239852398504,-0.023985239852398504,-0.023985239852398504,1.0,1.0,1.0,1.0,1.0,7.076923076923082,1,1,2024,2024-02
