dsa_confirmed_pos_max,dsa_trade_width_pct_max,bars_since_dir_change_max,w_dsa_signed_vwap_dev_min,weekly_mode,weekly_prev_down_range,trigger_type,n,ret_20,mae_20,wr_20,rr_20,quality_score,rank_score
0.38,0.28,6,-1.6,soft,none,expand_only,13,0.04953,-0.03451,0.8462,1.435,0.6352,207.95
0.38,0.28,6,-1.0,soft,none,expand_only,13,0.04953,-0.03451,0.8462,1.435,0.6352,207.95
0.3,0.35,6,-1.6,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,6,-1.6,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,6,-1.0,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,6,-1.0,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,9,-1.6,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,9,-1.6,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,9,-1.0,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,9,-1.0,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,12,-1.6,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,12,-1.6,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,12,-1.0,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,12,-1.0,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.34,0.35,6,-2.3,soft,none,expand_or_break,18,0.05201,-0.03713,0.8333,1.401,0.6155,203.308
0.34,0.35,6,-2.3,strict,none,expand_or_break,18,0.05201,-0.03713,0.8333,1.401,0.6155,203.308
0.38,0.28,6,-2.3,strict,none,expand_only,12,0.04954,-0.0357,0.8333,1.388,0.6324,201.214
0.38,0.28,6,-1.6,strict,none,expand_only,12,0.04954,-0.0357,0.8333,1.388,0.6324,201.214
0.38,0.28,6,-1.0,strict,none,expand_only,12,0.04954,-0.0357,0.8333,1.388,0.6324,201.214
0.38,0.35,9,-1.6,soft,none,expand_or_break,23,0.05047,-0.03666,0.8261,1.377,0.6166,200.144
0.38,0.35,9,-1.0,soft,none,expand_or_break,23,0.05047,-0.03666,0.8261,1.377,0.6166,200.144
0.38,0.35,12,-1.6,soft,none,expand_or_break,23,0.05047,-0.03666,0.8261,1.377,0.6166,200.144
0.38,0.35,12,-1.0,soft,none,expand_or_break,23,0.05047,-0.03666,0.8261,1.377,0.6166,200.144
0.38,0.35,9,-1.6,strict,none,expand_or_break,22,0.05051,-0.03741,0.8182,1.35,0.6142,196.247
0.38,0.35,9,-1.0,strict,none,expand_or_break,22,0.05051,-0.03741,0.8182,1.35,0.6142,196.247
