datetime,open,high,low,close,volume,amount,dsa_vwap,dsa_dir,lh_hh_low_pos,bull_vwap_dev_pct,rope,upper,lower,rope_dir,c_hi,c_lo,is_consolidating,bars_since_dir_change,consolidation_bars,dist_to_rope_atr,dist_to_upper_atr,dist_to_lower_atr,rope_slope_atr_5,rope_slope_pct_5,range_width_atr,dist_to_range_high_atr,dist_to_range_low_atr,range_break_up,range_break_down,range_break_up_strength,range_break_down_strength,range_width_atr_ffill,dist_to_range_high_atr_ffill,dist_to_range_low_atr_ffill,range_high_1,range_low_1,range_high_2,range_low_2,is_trailing_pivot_high,is_trailing_pivot_low,last_pivot_high,prev_pivot_high,last_pivot_low,prev_pivot_low,pivot_high_type,pivot_low_type,breakout_level,active_breakout_retest,bullish_bos,bullish_choch,bars_since_bullish_bos,bars_since_bullish_choch,bullish_ob_low,bullish_ob_high,bullish_ob_age,dist_to_bullish_ob_atr,retrace_50,dist_to_retrace50_atr,support_cluster_count,cluster1_contribution,cluster2_contribution,cluster3_contribution,support_raw,break_penalty,cluster1_state,cluster1_distance_atr,source_quality_score,freshness_quality_score,position_quality_score,confluence_quality_score,support_score,dsa_bull_flag,rope_bull_flag,above_dsa_vwap_flag,above_rope_flag
2025-07-02 15:00:00,33.15,34.9,33.15,34.04,38515872.0,1315606400.0,32.81843710047075,1.0,0.8059006211180123,3.7221848675777554,32.506350137478364,34.03999999999999,30.972700274956733,1.0,,,0.0,10.0,0.0,1.0000000000000022,4.63301796012177e-15,2.000000000000002,0.9747226984944434,0.04820421239490669,,,,0.0,0.0,,,2.0275027653847166,0.5134446178204181,1.5140581475642987,,,,,1.0,0.0,34.9,33.69,28.85,23.31,HH,,34.9,,0.0,0.0,,,,,,,31.875,2.1174976631631224,4.0,0.0637086384,0.019783679999999998,0.013248000000000001,0.0708378288,0.0,above,0.974760547417992,74.49779310344829,19.309090909090905,54.54545454545454,25.0,9.317627042042858,1.0,1.0,1.0,1.0
2025-07-03 15:00:00,34.0,34.3,33.1,33.3,28588744.0,956982144.0,32.83669563446141,1.0,0.6909937888198754,1.41093479897034,32.506350137478364,34.05902500981988,30.953675265136848,1.0,,,0.0,11.0,0.0,0.5111500653866883,-0.48884993461331033,1.5111500653866892,0.7594768327569318,0.037642152713789345,,,,0.0,0.0,,,2.0275027653847166,0.5134446178204181,1.5140581475642987,,,,,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,1.3766565287274433,4.0,0.10984248,0.0256128,0.0254016,0.120062256,0.0,above,0.22758665235552752,70.23406896551727,13.309090909090909,100.0,25.0,14.361544708798531,1.0,1.0,1.0,1.0
2025-07-04 15:00:00,32.8,33.45,32.45,32.92,24257116.0,797148224.0,32.83886351078311,1.0,0.6319875776397518,0.24707459559386358,32.506350137478364,34.05526251893834,30.957437756018386,1.0,,,0.0,12.0,0.0,0.2670582709989951,-0.732941729001005,1.267058270998995,0.761321691570245,0.037642152713789345,,,,0.0,0.0,,,2.0275027653847166,0.5134446178204181,1.5140581475642987,,,,,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,1.012000432537381,4.0,0.08348028480000001,0.0256128,0.0254016,0.09370006080000001,0.0,inside,0.0,70.23406896551727,13.309090909090909,82.27272727272727,25.0,11.719646722699938,1.0,1.0,1.0,1.0
2025-07-07 15:00:00,32.45,32.99,32.24,32.34,26772338.0,872433280.0,32.83147486746769,1.0,0.5419254658385099,-1.4969625015374612,32.506350137478364,34.02498306311977,30.987717211836955,0.0,34.02498306311977,30.987717211836955,1.0,0.0,1.0,-0.10953939867206636,-1.1095393986720647,0.8904606013279344,0.7765014009880977,0.037642152713789345,1.9999999999999991,1.1095393986720647,0.8904606013279344,0.0,0.0,,,1.9999999999999991,1.1095393986720647,0.8904606013279344,,,34.02498306311977,30.987717211836955,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,0.45929466444658434,4.0,0.07000646399999999,0.0461338416,0.0362112,0.08726928364799999,0.0,above,1.2156909019919018,87.04407724137931,13.309090909090909,62.27272727272726,43.333333333333336,11.055902038693887,1.0,0.0,0.0,0.0
2025-07-08 15:00:00,32.64,32.88,32.06,32.22,22086492.0,715474752.0,32.82275341865867,1.0,0.5232919254658382,-1.83638895546169,32.506350137478364,34.004366425573956,31.008333849382772,0.0,34.01467474434686,30.998025530609866,1.0,1.0,2.0,-0.19115288648990467,-1.1911528864899037,0.8088471135100943,0.43127033701752987,0.020277586413893323,2.0137626257535692,1.1980341993666894,0.81572842638688,0.0,0.0,,,2.0137626257535692,1.1980341993666894,0.81572842638688,,,34.01467474434686,30.998025530609866,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,0.3454568579210101,4.0,0.07000646399999999,0.0461338416,0.044160000000000005,0.08822313964799999,0.0,above,1.1035926395803208,87.04407724137931,13.309090909090909,62.27272727272726,43.333333333333336,11.154894891435232,1.0,0.0,0.0,0.0
2025-07-09 15:00:00,31.9,32.09,31.33,31.4,29309932.0,926817792.0,32.79085449625939,1.0,0.3959627329192544,-4.2415927173171255,32.506350137478364,33.9927224049957,31.01997786996103,0.0,34.007357297896476,31.005342977060252,1.0,2.0,3.0,-0.7443291035874102,-1.7443291035874118,0.25567089641258905,0.0,0.0,2.0196920962811284,1.7541751517279744,0.26551694455315406,0.0,0.0,,,2.0196920962811284,1.7541751517279744,0.26551694455315406,,,34.007357297896476,31.005342977060252,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,0.4793550146021489,4.0,0.098974656,0.019783679999999998,0.009715200000000002,0.1056799104,0.0,above,0.2782754168297296,80.73820689655173,19.309090909090905,76.36363636363636,25.0,12.93485673047308,1.0,0.0,0.0,0.0
2025-07-10 15:00:00,31.5,31.6,31.1,31.12,26226952.0,821101312.0,32.75485438911863,1.0,0.3524844720496895,-4.991181977782612,32.506350137478364,33.94012438588732,31.07257588906941,0.0,33.990549069894186,31.022151205062542,1.0,3.0,4.0,-0.9669235857854063,-1.9669235857854086,0.033076414214593564,0.0,0.0,2.0703383870408083,2.0020927793058103,0.06824560773499783,0.0,0.0,,,2.0703383870408083,2.0020927793058103,0.06824560773499783,,,33.990549069894186,31.022151205062542,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,0.7898733020604338,4.0,0.091732608,0.0741888,0.009715200000000002,0.11367129599999999,0.0,inside,0.0,80.73820689655173,19.309090909090905,75.9090909090909,25.0,13.731610951471302,1.0,0.0,0.0,0.0
2025-07-11 15:00:00,31.29,31.52,30.83,31.14,35092648.0,1093672704.0,32.70421842213709,1.0,0.3555900621118012,-4.782925560080922,32.506350137478364,33.91164051100097,31.101059763955764,0.0,33.97476735811554,31.037932916841186,1.0,4.0,5.0,-0.9722902563214549,-1.9722902563214566,0.02770974367854411,0.0,0.0,2.0898417128644216,2.0172111127536656,0.07263060011075588,0.0,0.0,,,2.0898417128644216,2.0172111127536656,0.07263060011075588,,,33.97476735811554,31.037932916841186,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,0.7845353677591866,4.0,0.091732608,0.019783679999999998,0.009715200000000002,0.09843786239999999,0.0,inside,0.0,80.73820689655173,19.309090909090905,70.9090909090909,25.0,12.203398908062365,1.0,0.0,0.0,0.0
2025-07-14 15:00:00,31.4,31.78,31.24,31.49,57107088.0,1798598528.0,32.643124583590854,1.0,0.4099378881987574,-3.532519016793239,32.506350137478364,33.87983405574935,31.132866219207376,0.0,33.95894514105451,31.053755133902218,1.0,5.0,6.0,-0.7399796415219771,-1.7399796415219753,0.2600203584780237,0.0,0.0,2.115197687068293,1.7975784850561223,0.3176192020121707,0.0,0.0,,,2.115197687068293,1.7975784850561223,0.3176192020121707,,,33.95894514105451,31.053755133902218,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,0.42046360522880327,4.0,0.098974656,0.019783679999999998,0.0185472,0.1067397504,0.0,above,0.29003053771703724,80.73820689655173,19.309090909090905,76.36363636363636,25.0,13.041132122990472,1.0,0.0,0.0,0.0
2025-07-15 15:00:00,31.58,31.61,30.9,31.41,40422140.0,1263969024.0,32.59509199411126,1.0,0.3975155279503105,-3.6357988936658323,32.506350137478364,33.85779949015857,31.154900784798162,0.0,33.94449576235509,31.068204512601643,1.0,6.0,7.0,-0.8112402697918909,-1.811240269791893,0.1887597302081086,0.0,0.0,2.1283011783232335,1.8753908589535089,0.2529103193697245,0.0,0.0,,,2.1283011783232335,1.8753908589535089,0.2529103193697245,,,33.94449576235509,31.068204512601643,0.0,0.0,34.9,33.69,28.85,23.31,,,34.9,,0.0,0.0,,,,,,,31.875,0.516112571008831,4.0,0.1207008,0.019783679999999998,0.009715200000000002,0.1274060544,0.0,above,0.18313959531216192,80.73820689655173,19.309090909090905,92.72727272727272,25.0,15.077997928920583,1.0,0.0,0.0,0.0
