2026-03-04 14:16:33 | WARNING  | __main__ | 杭电股份(603618.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 云天化(600096.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 工业富联(601138.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 广安爱众(600979.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 保变电气(600550.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 包钢股份(600010.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 深南电路(002916.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 天润工业(002283.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 风语筑(603466.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 天奇股份(002009.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 金圆股份(000546.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 应流股份(603308.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 掌阅科技(603533.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 再升科技(603601.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 网宿科技(300017.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 贤丰控股(002141.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 宏和科技(603256.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 华工科技(000988.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 航天电子(600879.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 智微智能(001339.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 天孚通信(300394.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 新联电子(002546.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 黄河旋风(600172.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 中钨高新(000657.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 英维克(002837.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 山子高科(000981.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 长春高新(000661.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 长电科技(600584.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 东材科技(601208.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 和邦生物(603077.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 蓝色光标(300058.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 北京科锐(002350.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 巨力索具(002342.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 拓维信息(002261.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 北方稀土(600111.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 紫金矿业(601899.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 银河电子(002519.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 三花智控(002050.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 华丰科技(688629.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 宏盛华源(601096.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:34 | WARNING  | __main__ | 上海电气(601727.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 抚顺特钢(600399.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 盐湖股份(000792.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 雅博股份(002323.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 悦心健康(002162.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 佳力图(603912.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 万向钱潮(000559.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 神剑股份(002361.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 平潭发展(000592.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 江钨装备(600397.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 格力电器(000651.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 江特电机(002176.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 中集集团(000039.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 天齐锂业(002466.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 洛阳钼业(603993.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:35 | WARNING  | __main__ | 常宝股份(002478.SZ) 15: 数据不足(0 bars)
2026-03-04 14:26:26 | INFO     | __main__ | 扫描周期：['15']
2026-03-04 14:26:26 | INFO     | __main__ | 计算最近 255 个 bar
2026-03-04 14:26:26 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:26:26 | INFO     | __main__ | 限制扫描前 5 只股票
2026-03-04 14:26:26 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:26:26 | INFO     | __main__ | 表 stock_amp_features 已创建/确认存在
2026-03-04 14:26:26 | INFO     | __main__ | 表 stock_amp_features 已清空
2026-03-04 14:26:27 | INFO     | __main__ | 华胜天成(600410.SH) 15m: 255 bars, strength=0.941, close_pos=0.078, activity=0.189
2026-03-04 14:26:28 | INFO     | __main__ | 豫能控股(001896.SZ) 15m: 255 bars, strength=0.992, close_pos=0.175, activity=0.088
2026-03-04 14:26:28 | INFO     | __main__ | 协鑫集成(002506.SZ) 15m: 255 bars, strength=0.910, close_pos=0.201, activity=0.237
2026-03-04 14:26:29 | INFO     | __main__ | 中天科技(600522.SH) 15m: 255 bars, strength=0.936, close_pos=0.962, activity=0.395
2026-03-04 14:26:30 | INFO     | __main__ | 利欧股份(002131.SZ) 15m: 255 bars, strength=0.915, close_pos=0.402, activity=0.219
2026-03-04 14:26:41 | INFO     | __main__ | 共保存 1275 条特征记录到数据库
2026-03-04 14:26:41 | INFO     | __main__ | 特征已保存到 Excel 文件: /Users/zhenbao/Nextcloud/coding/交易/amp_features_20260304_142641.xlsx
2026-03-04 14:26:41 | INFO     | __main__ | 扫描完成，共保存 1275 条记录
2026-03-04 14:26:58 | INFO     | __main__ | 扫描周期：['15']
2026-03-04 14:26:58 | INFO     | __main__ | 计算最近 所有 个 bar
2026-03-04 14:26:59 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:26:59 | INFO     | __main__ | 限制扫描前 1 只股票
2026-03-04 14:26:59 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:26:59 | INFO     | __main__ | 表 stock_amp_features 已创建/确认存在
2026-03-04 14:26:59 | INFO     | __main__ | 表 stock_amp_features 已清空
2026-03-04 14:27:00 | INFO     | __main__ | 华胜天成(600410.SH) 15m: 255 bars, strength=0.941, close_pos=0.078, activity=0.189
2026-03-04 14:27:02 | INFO     | __main__ | 共保存 255 条特征记录到数据库
2026-03-04 14:27:02 | INFO     | __main__ | 特征已保存到 Excel 文件: /Users/zhenbao/Nextcloud/coding/交易/amp_features_20260304_142702.xlsx
2026-03-04 14:27:02 | INFO     | __main__ | 扫描完成，共保存 255 条记录
2026-03-04 14:29:25 | INFO     | __main__ | 扫描周期：['15']
2026-03-04 14:29:25 | INFO     | __main__ | 计算最近 所有 个 bar
2026-03-04 14:29:25 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:29:25 | INFO     | __main__ | 限制扫描前 1 只股票
2026-03-04 14:29:26 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:29:26 | INFO     | __main__ | 表 stock_amp_features 已创建/确认存在
2026-03-04 14:29:26 | INFO     | __main__ | 表 stock_amp_features 已清空
2026-03-04 14:29:44 | INFO     | __main__ | 华胜天成(600410.SH) 15m: 8923 bars, strength=0.941, close_pos=0.078, activity=0.189
2026-03-04 14:31:19 | INFO     | __main__ | 共保存 8923 条特征记录到数据库
2026-03-04 14:31:22 | INFO     | __main__ | 特征已保存到 Excel 文件: /Users/zhenbao/Nextcloud/coding/交易/amp_features_20260304_143120.xlsx
2026-03-04 14:31:22 | INFO     | __main__ | 扫描完成，共保存 8923 条记录
2026-03-04 14:32:01 | INFO     | __main__ | 扫描周期：['15']
2026-03-04 14:32:01 | INFO     | __main__ | 计算最近 255 个 bar
2026-03-04 14:32:01 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:32:01 | INFO     | __main__ | 限制扫描前 10 只股票
2026-03-04 14:32:02 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:32:02 | INFO     | __main__ | 表 stock_amp_features 已创建/确认存在
2026-03-04 14:32:02 | INFO     | __main__ | 表 stock_amp_features 已清空
2026-03-04 14:32:03 | INFO     | __main__ | 华胜天成(600410.SH) 15m: 255 bars, strength=0.941, close_pos=0.078, activity=0.189
2026-03-04 14:32:03 | INFO     | __main__ | 豫能控股(001896.SZ) 15m: 255 bars, strength=0.992, close_pos=0.175, activity=0.088
2026-03-04 14:32:04 | INFO     | __main__ | 协鑫集成(002506.SZ) 15m: 255 bars, strength=0.910, close_pos=0.201, activity=0.237
2026-03-04 14:32:05 | INFO     | __main__ | 中天科技(600522.SH) 15m: 255 bars, strength=0.936, close_pos=0.962, activity=0.395
2026-03-04 14:32:06 | INFO     | __main__ | 利欧股份(002131.SZ) 15m: 255 bars, strength=0.915, close_pos=0.402, activity=0.219
2026-03-04 14:32:06 | INFO     | __main__ | 华银电力(600744.SH) 15m: 255 bars, strength=0.943, close_pos=0.163, activity=0.067
2026-03-04 14:32:07 | INFO     | __main__ | 沪电股份(002463.SZ) 15m: 255 bars, strength=0.937, close_pos=0.178, activity=0.208
2026-03-04 14:32:08 | INFO     | __main__ | 金正大(002470.SZ) 15m: 255 bars, strength=0.974, close_pos=0.318, activity=0.154
2026-03-04 14:32:08 | INFO     | __main__ | 润泽科技(300442.SZ) 15m: 255 bars, strength=0.933, close_pos=0.256, activity=0.178
2026-03-04 14:32:09 | INFO     | __main__ | 金风科技(002202.SZ) 15m: 255 bars, strength=0.951, close_pos=0.146, activity=0.125
2026-03-04 14:32:36 | INFO     | __main__ | 共保存 2550 条特征记录到数据库
2026-03-04 14:32:36 | INFO     | __main__ | 特征已保存到 Excel 文件: /Users/zhenbao/Nextcloud/coding/交易/amp_features_20260304_143236.xlsx
2026-03-04 14:32:36 | INFO     | __main__ | 扫描完成，共保存 2550 条记录
2026-03-04 14:36:28 | INFO     | __main__ | 扫描周期：['15']
2026-03-04 14:36:28 | INFO     | __main__ | 计算最近 255 个 bar
2026-03-04 14:36:29 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:36:29 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:36:29 | INFO     | __main__ | 表 stock_amp_features 已创建/确认存在
2026-03-04 14:36:29 | INFO     | __main__ | 表 stock_amp_features 已清空
2026-03-04 14:36:30 | INFO     | __main__ | 华胜天成(600410.SH) 15m: 255 bars, strength=0.941, close_pos=0.078, activity=0.189
2026-03-04 14:36:31 | INFO     | __main__ | 豫能控股(001896.SZ) 15m: 255 bars, strength=0.992, close_pos=0.175, activity=0.088
2026-03-04 14:36:32 | INFO     | __main__ | 协鑫集成(002506.SZ) 15m: 255 bars, strength=0.910, close_pos=0.201, activity=0.237
2026-03-04 14:36:32 | INFO     | __main__ | 中天科技(600522.SH) 15m: 255 bars, strength=0.936, close_pos=0.962, activity=0.395
2026-03-04 14:36:33 | INFO     | __main__ | 利欧股份(002131.SZ) 15m: 255 bars, strength=0.915, close_pos=0.402, activity=0.219
2026-03-04 14:36:34 | INFO     | __main__ | 华银电力(600744.SH) 15m: 255 bars, strength=0.943, close_pos=0.163, activity=0.067
2026-03-04 14:36:34 | INFO     | __main__ | 沪电股份(002463.SZ) 15m: 255 bars, strength=0.937, close_pos=0.178, activity=0.208
2026-03-04 14:36:35 | INFO     | __main__ | 金正大(002470.SZ) 15m: 255 bars, strength=0.974, close_pos=0.318, activity=0.154
2026-03-04 14:36:36 | INFO     | __main__ | 润泽科技(300442.SZ) 15m: 255 bars, strength=0.933, close_pos=0.256, activity=0.178
2026-03-04 14:36:37 | INFO     | __main__ | 金风科技(002202.SZ) 15m: 255 bars, strength=0.951, close_pos=0.146, activity=0.125
2026-03-04 14:36:37 | INFO     | __main__ | 云南锗业(002428.SZ) 15m: 255 bars, strength=0.973, close_pos=0.197, activity=0.129
2026-03-04 14:36:39 | INFO     | __main__ | 汉缆股份(002498.SZ) 15m: 255 bars, strength=0.951, close_pos=0.059, activity=0.122
2026-03-04 14:36:39 | WARNING  | __main__ | 航天发展(000547.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 特变电工(600089.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 大位科技(600589.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 明阳电路(300739.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 洲际油气(600759.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 东方电气(600875.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 章源钨业(002378.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 亨通光电(600487.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 大族激光(002008.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 川润股份(002272.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 烽火通信(600498.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 博纳影业(001330.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 赣能股份(000899.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 高澜股份(300499.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 风华高科(000636.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 中科环保(301175.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:39 | WARNING  | __main__ | 聚飞光电(300303.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:40 | INFO     | __main__ | 法尔胜(000890.SZ) 15m: 255 bars, strength=0.983, close_pos=0.125, activity=0.027
2026-03-04 14:36:40 | WARNING  | __main__ | 启迪环境(000826.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:40 | WARNING  | __main__ | 胜宏科技(300476.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:40 | WARNING  | __main__ | 澄星股份(600078.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:40 | WARNING  | __main__ | 华天科技(002185.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:40 | WARNING  | __main__ | 科力远(600478.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:41 | INFO     | __main__ | 深科技(000021.SZ) 15m: 255 bars, strength=0.940, close_pos=0.515, activity=0.237
2026-03-04 14:36:41 | WARNING  | __main__ | 通富微电(002156.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:41 | WARNING  | __main__ | 中国西电(601179.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:41 | WARNING  | __main__ | 杭电股份(603618.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:41 | WARNING  | __main__ | 云天化(600096.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:41 | WARNING  | __main__ | 工业富联(601138.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:41 | WARNING  | __main__ | 广安爱众(600979.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 保变电气(600550.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 包钢股份(600010.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 深南电路(002916.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 天润工业(002283.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 风语筑(603466.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 天奇股份(002009.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 金圆股份(000546.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 应流股份(603308.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 掌阅科技(603533.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 再升科技(603601.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 网宿科技(300017.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 贤丰控股(002141.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 宏和科技(603256.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 华工科技(000988.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 航天电子(600879.SH) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 智微智能(001339.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 天孚通信(300394.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 新联电子(002546.SZ) 15: 数据不足(0 bars)
2026-03-04 14:36:42 | WARNING  | __main__ | 黄河旋风(600172.SH) 15: 数据不足(0 bars)
