feature,gain,gain_pct,split,split_pct,scene
rope_slope_atr_5,24.060121835023164,10.282260072774209,84.6,6.683520303365461,sceneB_T1_reg
score_volume_total,22.474086992774392,9.604457073923868,84.3,6.659819876757783,sceneB_T1_reg
range_width_atr,17.83974960700143,7.623940824162647,112.4,8.879759835677046,sceneB_T1_reg
vol_zscore,16.449736259458586,7.0299089717030245,88.5,6.991625849265288,sceneB_T1_reg
score_trend_total,15.785484857391566,6.74603652431517,67.8,5.356296413335441,sceneB_T1_reg
close_pos,10.648770299144962,4.550825902787317,71.3,5.632801390425029,sceneB_T1_reg
vol_record_days,9.688823377151675,4.1405859224715815,80.1,6.328013904250278,sceneB_T1_reg
body_to_range,9.582264402481815,4.095047204997228,65.7,5.1903934270816885,sceneB_T1_reg
upper_wick_ratio,9.039773851353676,3.8632101024268466,72.0,5.688102385842946,sceneB_T1_reg
breakout_quality_score,8.527760992941149,3.644397853390825,70.0,5.530099541791754,sceneB_T1_reg
score_candle_total,8.195491482154466,3.5024001716006636,59.9,4.732185179333229,sceneB_T1_reg
dist_to_rope_atr,4.355793419945985,1.861478552530368,41.5,3.2785590140622536,sceneB_T1_reg
dir_consistent,2.486428618384525,1.062592528912426,18.0,1.4220255964607365,sceneB_T1_reg
bull_pct,0.8152198005467653,0.3483898403829047,3.3,0.26070469268446833,sceneB_T1_reg
n_high_levels_broken,0.6663895437493921,0.2847861970771271,5.0,0.3950071101279824,sceneB_T1_reg
high_break_flag,0.39515231624245645,0.1688710851850159,1.9,0.1501027018486333,sceneB_T1_reg
delta_pct,0.21354574672877788,0.09126025713235765,0.7,0.055300995417917526,sceneB_T1_reg
breakout_watch_flag,0.0029756100848317146,0.0012716476241143673,0.1,0.007900142202559648,sceneB_T1_reg
score_freshness_total,0.0,0.0,0.0,0.0,sceneB_T1_reg
rope_dir,0.0,0.0,0.0,0.0,sceneB_T1_reg
dir_consistent,15811.669263362885,53.331893930058236,11.3,3.785594639865996,sceneC_T0_cls
position_in_structure,3869.024665236473,13.050008169427457,28.0,9.380234505862644,sceneC_T0_cls
score_trend_total,3003.7355822324753,10.131435511160777,15.8,5.293132328308206,sceneC_T0_cls
score_volume_total,2113.63478330113,7.129174294777964,40.9,13.701842546063647,sceneC_T0_cls
range_width_atr,959.1708681106568,3.235230774615869,23.3,7.805695142378558,sceneC_T0_cls
vol_record_days,864.2777110598981,2.9151613561234244,26.3,8.810720268006698,sceneC_T0_cls
vol_zscore,623.6241797208786,2.1034501829707395,11.1,3.71859296482412,sceneC_T0_cls
upper_wick_ratio,579.2437130556442,1.9537573010027942,29.7,9.94974874371859,sceneC_T0_cls
rope_slope_atr_5,546.1760890483856,1.842222017365127,11.9,3.986599664991624,sceneC_T0_cls
breakout_quality_score,382.95325300991533,1.291680336181772,22.0,7.3701842546063645,sceneC_T0_cls
close_pos,363.7075336791575,1.2267655795637635,28.0,9.380234505862644,sceneC_T0_cls
score_candle_total,304.48351651607084,1.0270062152079522,22.8,7.638190954773869,sceneC_T0_cls
body_to_range,109.39402682036162,0.36898005756317187,17.4,5.829145728643215,sceneC_T0_cls
dist_to_rope_atr,74.21103043556214,0.25030973882057794,6.4,2.1440536013400333,sceneC_T0_cls
bull_pct,22.23504912853241,0.0749976022076442,2.3,0.7705192629815744,sceneC_T0_cls
high_break_flag,10.297411918640137,0.0347326060931173,0.6,0.20100502512562807,sceneC_T0_cls
n_high_levels_broken,7.047389888763428,0.023770459890795792,0.3,0.10050251256281403,sceneC_T0_cls
breakout_watch_flag,1.9976299285888672,0.0067378962770153795,0.1,0.03350083752093802,sceneC_T0_cls
delta_pct,0.7963279962539673,0.0026859706917952437,0.3,0.10050251256281403,sceneC_T0_cls
rope_dir,0.0,0.0,0.0,0.0,sceneC_T0_cls
score_freshness_total,0.0,0.0,0.0,0.0,sceneC_T0_cls
ret_t1,63492.31608125921,58.93401798455754,279.2,17.659709044908283,sceneD_T1_cls
dir_consistent,18707.202420204878,17.364157931522218,48.6,3.074003795066414,sceneD_T1_cls
score_trend_total,5899.440809646248,5.47590279002513,82.2,5.1992409867172675,sceneD_T1_cls
position_in_structure,5706.749515664577,5.297045364656528,129.1,8.16571790006325,sceneD_T1_cls
